id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
16ceb862,Olivier Giroud,9,FRA,FW,36-354,90,0,0,0,0,3,2,1,0,19,0,0,0,0.6,0.6,0.0,1,0,5,13,38.5,0,9,1,0,0,Milan,2023-09-19 Milan-Newcastle Utd,UCL,23-24,19789895
20730eae,Rafael Leão,10,POR,LW,24-101,90,0,0,0,0,2,1,0,0,34,2,0,1,0.2,0.2,0.3,4,0,16,20,80.0,1,24,3,5,3,Milan,2023-09-19 Milan-Newcastle Utd,UCL,23-24,19789895
b8a642fc,Samuel Chukwueze,21,NGA,RW,24-120,60,0,0,0,0,2,1,0,0,30,0,0,1,0.3,0.3,0.1,3,0,16,23,69.6,3,25,4,3,1,Milan,2023-09-19 Milan-Newcastle Utd,UCL,23-24,19789895
1bf33a9a,Christian Pulisic,11,USA,RW,25-001,30,0,0,0,0,2,0,0,0,17,0,0,0,0.1,0.1,0.0,1,0,6,11,54.5,0,11,1,2,0,Milan,2023-09-19 Milan-Newcastle Utd,UCL,23-24,19789895
55a1cac2,Tommaso Pobega,32,ITA,LM,24-066,60,0,0,0,0,3,1,0,0,22,1,0,0,0.2,0.2,0.0,4,0,13,16,81.3,3,13,0,1,1,Milan,2023-09-19 Milan-Newcastle Utd,UCL,23-24,19789895
afb61630,Tijjani Reijnders,14,NED,LM,25-052,30,0,0,0,0,2,1,0,0,20,1,0,1,0.1,0.1,0.0,2,0,15,16,93.8,1,16,1,1,1,Milan,2023-09-19 Milan-Newcastle Utd,UCL,23-24,19789895
817c6964,Rade Krunić,33,BIH,CM,29-347,90,0,0,0,0,1,1,1,0,77,1,0,0,0.0,0.0,0.4,11,0,65,74,87.8,5,55,4,0,0,Milan,2023-09-19 Milan-Newcastle Utd,UCL,23-24,19789895
e97fd090,Ruben Loftus-Cheek,8,ENG,RM,27-239,71,0,0,0,0,4,0,0,0,24,0,0,0,0.2,0.2,0.0,1,0,5,13,38.5,1,15,5,4,1,Milan,2023-09-19 Milan-Newcastle Utd,UCL,23-24,19789895
b51b1b9c,Yunus Musah,80,USA,RM,20-294,19,0,0,0,0,0,0,1,0,17,1,0,0,0.0,0.0,0.0,3,0,12,15,80.0,1,14,2,3,3,Milan,2023-09-19 Milan-Newcastle Utd,UCL,23-24,19789895
