id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
79443529,Dušan Vlahović,9,SRB,FW,23-040,66,0,0,0,0,3,1,0,0,28,0,1,1,0.2,0.2,0.0,3,0,12,16,75.0,0,19,0,3,2,Juventus,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
b0f7e36c,Federico Chiesa,7,ITA,"FW,WB",25-135,24,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,1,0,3,4,75.0,0,4,1,0,0,Juventus,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
19cda00b,Ángel Di María,22,ARG,FW,35-023,90,1,0,0,0,2,1,0,0,60,3,0,1,0.2,0.2,0.9,9,0,30,47,63.8,5,50,3,11,6,Juventus,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
8794e251,Adrien Rabiot,25,FRA,DM,27-340,90,0,0,0,0,3,2,0,0,44,2,1,2,0.3,0.3,0.0,0,0,20,28,71.4,2,33,2,5,2,Juventus,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
a8a874f1,Manuel Locatelli,5,ITA,DM,25-060,90,0,0,0,0,2,0,0,0,63,3,4,2,0.1,0.1,0.0,2,0,40,48,83.3,8,39,1,2,1,Juventus,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
34693494,Fabio Miretti,20,ITA,DM,19-218,45,0,0,0,0,1,0,0,0,17,0,0,1,0.1,0.1,0.0,1,0,10,10,100.0,1,12,1,1,0,Juventus,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
366be751,Nicolò Fagioli,44,ITA,DM,22-025,45,0,0,0,0,1,0,0,0,18,1,1,1,0.1,0.1,0.0,0,0,10,14,71.4,0,10,1,0,0,Juventus,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
b1cd37e6,Filip Kostić,17,SRB,WB,30-128,77,0,1,0,0,2,0,0,0,26,0,0,1,0.1,0.1,0.2,2,1,16,21,76.2,0,15,1,1,1,Juventus,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
3d50bcdb,Moise Kean,18,ITA,"WB,FW",23-009,13,0,0,0,0,1,0,0,0,7,1,0,0,0.4,0.4,0.0,0,0,2,2,100.0,1,4,1,0,0,Juventus,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
0ab1f153,Juan Cuadrado,11,COL,WB,34-287,90,0,0,0,0,3,2,0,0,59,2,0,0,0.1,0.1,0.4,4,0,41,50,82.0,4,45,1,3,1,Juventus,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
0d82903c,Alex Sandro,12,BRA,CB,32-042,22,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,2,0,17,18,94.4,2,18,1,0,0,Juventus,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
52ec54d0,Leonardo Bonucci,19,ITA,CB,35-312,68,0,0,0,0,0,0,1,0,64,0,0,0,0.0,0.0,0.0,1,0,49,55,89.1,2,48,0,0,0,Juventus,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
5fd5ed86,Gleison Bremer,3,BRA,CB,25-356,90,0,0,0,0,1,0,1,0,75,0,1,1,0.4,0.4,0.0,2,0,64,68,94.1,1,62,0,1,1,Juventus,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
94b2001f,Danilo,6,BRA,CB,31-237,90,0,0,0,0,0,0,0,0,61,1,3,1,0.0,0.0,0.2,6,1,44,51,86.3,5,40,2,2,1,Juventus,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
01b8a2b2,Wojciech Szczęsny,1,POL,GK,32-325,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,22,25,88.0,0,15,0,0,0,Juventus,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
ca618d23,Lucas Höler,9,GER,FW,28-242,87,0,0,0,0,0,0,1,0,25,1,0,1,0.0,0.0,0.0,0,0,11,19,57.9,1,14,0,0,0,Freiburg,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
8e235926,Michael Gregoritsch,38,AUT,FW,28-325,3,0,0,0,0,0,0,0,0,6,2,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,1,1,0,Freiburg,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
54e4866f,Vincenzo Grifo,32,ITA,LW,29-336,90,0,0,0,0,1,0,0,0,88,1,0,0,0.0,0.0,0.0,1,0,65,82,79.3,9,72,4,1,1,Freiburg,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
bf075f6b,Roland Sallai,22,HUN,RW,25-291,58,0,0,0,0,0,0,0,0,32,3,0,0,0.0,0.0,0.0,0,0,15,23,65.2,2,22,0,1,1,Freiburg,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
d01bbb6f,Ritsu Doan,42,JPN,RW,24-266,32,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,11,12,91.7,0,11,0,2,0,Freiburg,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
8593f88c,Christian Günter,30,GER,LM,30-009,90,0,0,0,0,0,0,0,0,50,1,0,2,0.0,0.0,0.0,0,0,30,45,66.7,1,35,2,1,0,Freiburg,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
5d8e331f,Nicolas Höfler,27,GER,CM,33-000,90,0,0,0,0,0,0,0,0,72,3,2,2,0.0,0.0,0.0,1,0,55,61,90.2,4,56,0,1,0,Freiburg,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
beb882a8,Maximilian Eggestein,8,GER,CM,26-091,58,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,0,0,21,27,77.8,3,17,0,0,0,Freiburg,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
d2c580ce,Yannik Keitel,14,GER,CM,23-022,32,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,9,13,69.2,0,12,0,1,1,Freiburg,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
2a29eb9b,Lukas Kübler,17,GER,RM,30-191,90,0,0,0,0,0,0,0,0,33,2,2,0,0.0,0.0,0.0,0,0,17,28,60.7,3,23,1,0,0,Freiburg,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
302527b2,Philipp Lienhart,3,AUT,CB,26-241,66,0,0,0,0,0,0,0,0,50,2,2,2,0.0,0.0,0.0,0,0,37,40,92.5,3,38,2,1,0,Freiburg,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
25ab9c9c,Manuel Gulde,5,GER,CB,32-025,24,0,0,0,0,0,0,0,0,21,1,0,1,0.0,0.0,0.0,0,0,16,18,88.9,1,16,0,0,0,Freiburg,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
f521b80a,Matthias Ginter,28,GER,CB,29-049,90,0,0,0,0,0,0,1,0,56,3,0,1,0.0,0.0,0.0,0,0,43,49,87.8,5,42,3,0,0,Freiburg,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
313254a3,Kiliann Sildillia,25,FRA,CB,20-297,90,0,0,0,0,0,0,0,0,72,0,2,2,0.0,0.0,0.0,0,0,56,63,88.9,6,50,1,2,1,Freiburg,2023-03-09 Juventus-Freiburg,UEL,22-23,a99b5410
