id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
0ae4e09a,Roger Martí,9,ESP,FW,30-007,85,0,0,0,0,0,0,0,0,30,1,0,1,0.0,0.0,0.0,0,0,17,24,70.8,4,14,1,1,1,Levante,2021-01-10 Levante-Eibar,ESP-LALIGA,20-21,da826608
d4ef9ac5,Toño,3,ESP,FW,31-064,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Levante,2021-01-10 Levante-Eibar,ESP-LALIGA,20-21,da826608
0e5ddc7c,Dani Gómez,21,ESP,FW,22-164,61,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,6,11,54.5,2,13,1,2,1,Levante,2021-01-10 Levante-Eibar,ESP-LALIGA,20-21,da826608
3902e91b,Gonzalo Melero,22,ESP,CM,27-008,29,1,0,0,0,2,1,0,0,20,0,1,1,0.5,0.5,0.0,0,0,12,16,75.0,0,7,1,0,0,Levante,2021-01-10 Levante-Eibar,ESP-LALIGA,20-21,da826608
4a478107,José Luis Morales,11,ESP,LM,33-171,90,1,1,0,0,1,1,1,0,38,1,0,1,0.5,0.5,0.5,3,2,16,23,69.6,2,21,1,6,3,Levante,2021-01-10 Levante-Eibar,ESP-LALIGA,20-21,da826608
bbc19252,Mickael Malsa,12,MTQ,CM,25-090,61,0,0,0,0,0,0,1,0,37,1,1,0,0.0,0.0,0.0,0,0,19,32,59.4,0,14,0,2,1,Levante,2021-01-10 Levante-Eibar,ESP-LALIGA,20-21,da826608
0a0cc13c,Sergio León,7,ESP,FW,32-004,29,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,2,1,5,6,83.3,1,3,0,0,0,Levante,2021-01-10 Levante-Eibar,ESP-LALIGA,20-21,da826608
b5dd3469,Nemanja Radoja,5,SRB,CM,27-339,90,0,0,0,0,0,0,0,0,55,0,3,1,0.0,0.0,0.0,0,0,30,48,62.5,3,23,0,0,0,Levante,2021-01-10 Levante-Eibar,ESP-LALIGA,20-21,da826608
38ce1150,Jorge de Frutos,18,ESP,RM,23-325,85,0,1,0,0,1,0,0,0,34,1,0,1,0.0,0.0,0.5,1,1,13,27,48.1,2,19,4,3,1,Levante,2021-01-10 Levante-Eibar,ESP-LALIGA,20-21,da826608
037dbd30,Son,2,ESP,RM,26-286,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,0,0,0,Levante,2021-01-10 Levante-Eibar,ESP-LALIGA,20-21,da826608
33a61a52,Carlos Clerc,19,ESP,LB,28-324,90,0,0,0,0,0,0,0,0,69,3,2,0,0.0,0.0,0.0,0,0,36,58,62.1,3,30,0,2,2,Levante,2021-01-10 Levante-Eibar,ESP-LALIGA,20-21,da826608
474ecac8,Sergio Postigo,15,ESP,CB,32-067,79,0,0,0,0,0,0,0,0,57,2,1,1,0.0,0.0,0.0,0,0,36,47,76.6,1,30,0,0,0,Levante,2021-01-10 Levante-Eibar,ESP-LALIGA,20-21,da826608
6d8f8441,Coke,23,ESP,CB,33-259,11,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,0,0,2,4,50.0,0,0,0,0,0,Levante,2021-01-10 Levante-Eibar,ESP-LALIGA,20-21,da826608
aa0ac32d,Óscar Duarte,6,CRC,CB,31-221,90,0,0,0,0,0,0,0,0,72,2,4,1,0.0,0.0,0.0,0,0,49,59,83.1,0,37,0,0,0,Levante,2021-01-10 Levante-Eibar,ESP-LALIGA,20-21,da826608
7f4c7c9f,Jorge Miramón,20,ESP,RB,31-222,90,0,0,0,0,0,0,0,0,66,4,1,3,0.0,0.0,0.0,0,0,44,53,83.0,4,26,3,0,0,Levante,2021-01-10 Levante-Eibar,ESP-LALIGA,20-21,da826608
