id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
e92cd3f7,Alexander Sørloth,11,NOR,FW,28-100,90,1,0,0,0,5,1,0,0,38,0,0,1,0.5,0.5,0.1,6,0,12,22,54.5,1,25,3,3,3,Villarreal,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
e6bc67d7,Gonçalo Guedes,9,POR,LW,27-106,90,0,1,0,0,3,1,0,0,41,0,0,1,0.1,0.1,0.1,3,1,20,26,76.9,6,33,5,5,0,Villarreal,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
81f0781e,Gerard Moreno,7,ESP,RW,31-342,90,0,0,0,0,4,1,0,0,47,0,1,0,0.4,0.4,0.1,8,1,23,35,65.7,4,36,0,3,1,Villarreal,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
a6951bf8,Francis Coquelin,19,FRA,LM,32-306,65,0,0,0,0,1,1,1,0,33,1,2,0,0.1,0.1,0.0,1,0,23,24,95.8,4,21,0,1,0,Villarreal,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
518f2234,Alex Baena,16,ESP,LM,22-238,25,0,1,0,0,0,0,1,0,22,0,0,0,0.0,0.0,0.7,8,1,12,21,57.1,2,11,0,1,1,Villarreal,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
7460ca0d,Daniel Parejo,10,ESP,CM,34-333,90,0,0,0,0,2,0,0,0,84,3,1,0,0.1,0.1,0.1,2,0,62,75,82.7,10,55,0,1,0,Villarreal,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
5acc4a10,Étienne Capoue,6,FRA,RM,35-247,83,1,0,0,0,4,1,0,0,50,4,1,0,0.2,0.2,0.0,3,0,30,35,85.7,9,33,2,4,2,Villarreal,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
5ae499d0,Santi Comesaña,4,ESP,RM,27-161,7,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,0,2,1,0,0,Villarreal,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
0abc51f2,Jorge Cuenca,5,ESP,LB,24-118,90,0,0,0,0,1,0,0,0,61,0,2,0,0.0,0.0,0.0,4,1,41,55,74.5,8,38,3,0,0,Villarreal,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
fbd6378b,Aïssa Mandi,23,ALG,CB,32-144,90,0,0,0,0,1,0,0,0,84,1,1,0,0.1,0.1,0.0,3,0,67,77,87.0,11,62,2,0,0,Villarreal,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
a1232f4e,Eric Bailly,12,CIV,CB,29-337,50,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,33,34,97.1,2,25,0,0,0,Villarreal,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
1e159d70,Yerson Mosquera,2,COL,CB,22-317,40,1,0,0,0,2,2,1,0,41,1,0,0,0.3,0.3,0.0,1,1,27,36,75.0,3,27,1,0,0,Villarreal,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
e5d01ecf,Kiko Femenía,17,ESP,RB,33-041,83,0,1,0,0,0,0,0,0,59,2,0,2,0.0,0.0,0.3,2,1,41,51,80.4,4,36,5,0,0,Villarreal,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
4a478107,José Luis Morales,15,ESP,RB,36-235,7,0,0,0,0,1,1,0,0,5,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,1,2,1,0,0,Villarreal,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
0107757e,Filip Jørgensen,13,DEN,GK,21-333,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,1,0,27,27,100.0,0,20,0,0,0,Villarreal,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
5ed97752,Iliman Ndiaye,29,SEN,FW,24-008,45,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,10,11,90.9,1,13,2,3,2,Marseille,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
e7d59f4f,Amine Harit,11,MAR,FW,26-270,45,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.2,2,0,17,21,81.0,3,17,1,0,0,Marseille,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
bfdb33aa,Ismaila Sarr,23,SEN,FW,26-018,45,0,0,0,0,0,0,1,0,14,0,0,0,0.0,0.0,0.1,2,0,6,10,60.0,1,13,3,1,0,Marseille,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
d5dd5f1f,Pierre-Emerick Aubameyang,10,GAB,FW,34-270,45,0,1,0,0,2,1,0,0,13,0,0,0,0.2,0.2,0.9,3,2,9,9,100.0,1,11,2,3,2,Marseille,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
4a56052c,Jordan Veretout,27,FRA,CM,31-013,90,0,0,0,0,1,0,0,0,38,1,2,0,0.1,0.1,0.0,0,0,18,31,58.1,2,23,1,0,0,Marseille,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
cce181df,Geoffrey Kondogbia,19,CTA,CM,31-028,90,0,0,0,0,1,0,1,0,45,4,2,2,0.0,0.0,0.0,1,0,25,29,86.2,1,25,0,1,0,Marseille,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
83299cc0,Azzedine Ounahi,8,MAR,CM,23-330,77,0,0,0,0,1,0,1,0,35,0,0,1,0.1,0.1,0.1,1,0,19,25,76.0,0,27,1,1,1,Marseille,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
f36d5624,Luis Henrique,44,BRA,LM,22-091,13,0,0,0,0,0,0,0,0,6,0,2,0,0.0,0.0,0.0,0,0,2,2,100.0,0,5,0,1,0,Marseille,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
0bfca6a1,Quentin Merlin,3,FRA,"WB,LB",21-303,90,0,0,0,0,0,0,1,0,51,3,0,2,0.0,0.0,0.0,2,0,28,38,73.7,5,25,2,1,0,Marseille,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
5219ab4a,Jonathan Clauss,7,FRA,"WB,RM",31-171,90,1,0,0,0,1,1,0,0,33,2,0,0,0.9,0.9,0.3,2,0,14,23,60.9,1,17,0,1,0,Marseille,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
7c3ed041,Leonardo Balerdi,5,ARG,CB,25-048,90,0,0,0,0,0,0,0,0,35,4,2,2,0.0,0.0,0.0,0,0,8,19,42.1,0,11,0,1,0,Marseille,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
e76cb9cc,Chancel Mbemba,99,COD,CB,29-219,90,0,0,0,0,0,0,0,0,38,4,1,2,0.0,0.0,0.0,0,0,13,24,54.2,0,16,0,0,0,Marseille,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
04ac78d2,Bamo Meïté,18,CIV,"CB,RB",22-102,90,0,0,0,0,1,0,0,0,40,2,2,1,0.3,0.3,0.0,0,0,16,23,69.6,0,16,0,0,0,Marseille,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
20b9f052,Pau López,16,ESP,GK,29-092,90,0,0,0,0,0,0,1,0,40,0,0,0,0.0,0.0,0.0,0,0,15,36,41.7,0,21,0,0,0,Marseille,2024-03-14 Villarreal-Marseille,UEL,23-24,172fc352
