id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
4f16405e,Niclas Füllkrug,14,GER,FW,31-067,90,1,0,0,0,5,2,0,0,36,0,0,2,0.5,0.5,0.1,1,1,17,26,65.4,1,14,0,1,0,Dortmund,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
501055d8,Karim Adeyemi,27,GER,LW,22-089,65,0,0,0,0,1,1,0,0,28,0,3,2,0.1,0.1,0.4,6,0,15,17,88.2,1,20,2,1,0,Dortmund,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
10745192,Jamie Gittens,43,ENG,LW,19-252,25,0,0,0,0,2,0,0,0,10,1,1,0,0.1,0.1,0.0,0,0,5,5,100.0,1,5,0,0,0,Dortmund,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
dbf053da,Jadon Sancho,10,ENG,RW,24-022,85,0,0,0,0,0,0,0,0,56,1,0,1,0.0,0.0,0.1,4,1,36,41,87.8,7,45,3,9,2,Dortmund,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
15413fa5,Salih Özcan,6,TUR,DM,26-096,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,3,0,0,0,Dortmund,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
a167537f,Julian Brandt,19,GER,"AM,RW",27-350,89,1,0,0,0,3,2,0,0,77,1,0,1,0.1,0.1,0.4,8,1,58,69,84.1,3,50,2,0,0,Dortmund,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
36a3ff67,Marco Reus,11,GER,RW,34-321,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Dortmund,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
a65ce836,Emre Can,23,GER,DM,30-095,90,0,0,0,0,1,1,0,0,65,1,2,1,0.0,0.0,0.0,7,0,48,58,82.8,6,50,1,1,1,Dortmund,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
e280527c,Marcel Sabitzer,20,AUT,"DM,AM",30-030,90,1,2,0,0,4,2,0,0,33,0,2,0,0.5,0.5,0.1,2,2,18,25,72.0,2,20,0,1,1,Dortmund,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
cab9634e,Ian Maatsen,22,NED,LB,22-037,90,1,0,0,0,1,1,0,0,87,0,0,0,0.0,0.0,0.0,3,0,68,77,88.3,11,54,2,1,0,Dortmund,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
34e12499,Nico Schlotterbeck,4,GER,CB,24-137,90,0,0,0,0,1,0,0,0,110,0,2,3,0.1,0.1,0.2,2,0,83,96,86.5,7,84,1,0,0,Dortmund,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
05d548d8,Mats Hummels,15,GER,CB,35-122,90,0,1,0,0,0,0,0,0,90,4,2,1,0.0,0.0,0.0,1,1,72,81,88.9,3,70,2,0,0,Dortmund,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
009a4f60,Julian Ryerson,26,NOR,RB,26-151,90,0,0,0,0,1,0,1,0,76,3,0,1,0.0,0.0,0.0,2,1,58,65,89.2,3,51,3,1,0,Dortmund,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
cd59b9df,Gregor Kobel,1,SUI,GK,26-132,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,27,32,84.4,0,25,0,0,0,Dortmund,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
df69b544,Antoine Griezmann,7,FRA,FW,33-026,90,0,0,0,0,0,0,0,0,67,1,1,1,0.0,0.0,0.8,4,0,49,58,84.5,7,30,7,0,0,Atlético Madrid,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
129af0db,Álvaro Morata,19,ESP,FW,31-176,45,0,0,0,0,2,0,0,0,24,2,0,0,0.7,0.7,0.0,0,0,13,16,81.3,0,12,1,0,0,Atlético Madrid,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
01eb744d,Ángel Correa,10,ARG,FW,29-038,45,1,0,0,0,4,1,0,0,16,0,0,0,1.1,1.1,0.1,4,1,8,12,66.7,3,8,1,1,1,Atlético Madrid,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
162efffd,Rodrigo De Paul,5,ARG,CM,29-328,83,0,0,0,0,2,1,0,0,50,1,1,2,0.1,0.1,0.0,0,0,29,37,78.4,2,31,2,1,0,Atlético Madrid,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
c14bc029,Saúl Ñíguez,8,ESP,WB,29-147,7,0,0,0,0,0,0,0,0,7,1,1,0,0.0,0.0,0.0,0,0,1,1,100.0,0,3,0,1,0,Atlético Madrid,2024-04-16 Dortmund-Atlético Madrid,UCL,23-24,80ba9ddf
