id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
5ed97752,Iliman Ndiaye,29,SEN,FW,24-001,59,0,0,0,0,2,1,0,0,25,0,0,1,0.3,0.3,0.0,2,1,15,17,88.2,2,20,4,3,2,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
83299cc0,Azzedine Ounahi,8,MAR,RM,23-323,31,0,0,0,0,0,0,0,0,44,2,0,0,0.0,0.0,0.0,0,0,37,40,92.5,3,38,0,0,0,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
d5dd5f1f,Pierre-Emerick Aubameyang,10,GAB,"LW,FW",34-263,84,2,0,1,1,1,1,0,0,29,1,2,2,0.9,0.1,0.1,1,0,17,23,73.9,3,24,3,0,0,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
58aae0a9,Faris Pemi Moumbagna,14,CMR,FW,23-250,6,0,0,0,0,1,0,0,0,1,0,0,0,0.1,0.1,0.0,0,0,0,0,,0,1,0,0,0,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
bfdb33aa,Ismaila Sarr,23,SEN,RW,26-011,90,0,0,0,0,3,2,0,0,44,1,0,2,0.9,0.9,0.0,4,1,23,32,71.9,2,30,5,2,1,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
e7d59f4f,Amine Harit,11,MAR,"LM,LW",26-263,90,0,1,0,0,1,1,0,0,81,2,2,0,0.1,0.1,0.4,8,2,65,73,89.0,9,68,7,3,2,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
cce181df,Geoffrey Kondogbia,19,CTA,CM,31-021,90,0,0,0,0,0,0,0,0,66,3,3,0,0.0,0.0,0.0,2,1,54,60,90.0,2,57,0,0,0,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
4a56052c,Jordan Veretout,27,FRA,"RM,LM",31-006,72,1,0,0,0,2,1,0,0,42,1,0,2,0.9,0.9,0.0,1,0,27,36,75.0,3,29,0,0,0,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
f36d5624,Luis Henrique,44,BRA,"LM,LW",22-084,18,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,10,11,90.9,1,10,0,0,0,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
0bfca6a1,Quentin Merlin,3,FRA,LB,21-296,84,0,0,0,0,1,0,1,0,64,2,0,0,0.0,0.0,0.0,0,0,47,57,82.5,5,46,0,0,0,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
47f82561,Emran Soglo,37,ENG,LB,18-240,6,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,10,90.0,1,10,0,0,0,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
7c3ed041,Leonardo Balerdi,5,ARG,CB,25-041,90,0,0,0,0,0,0,0,0,72,3,1,1,0.0,0.0,0.0,0,0,58,65,89.2,5,59,0,0,0,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
e76cb9cc,Chancel Mbemba,99,COD,CB,29-212,90,0,0,0,0,0,0,0,0,59,1,1,1,0.0,0.0,0.0,1,0,47,52,90.4,7,45,1,0,0,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
5219ab4a,Jonathan Clauss,7,FRA,RB,31-164,59,0,1,0,0,0,0,0,0,35,0,1,0,0.0,0.0,0.9,2,1,24,32,75.0,2,24,1,1,0,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
04ac78d2,Bamo Meïté,18,CIV,RB,22-095,31,0,0,0,0,0,0,0,0,32,0,0,1,0.0,0.0,0.0,0,0,29,30,96.7,4,21,0,0,0,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
20b9f052,Pau López,16,ESP,GK,29-085,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,19,25,76.0,0,20,0,0,0,Marseille,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
e6bc67d7,Gonçalo Guedes,9,POR,"LM,FW",27-099,90,0,0,0,0,1,0,0,0,33,2,0,0,0.0,0.0,0.0,0,0,20,23,87.0,2,24,2,4,0,Villarreal,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
81f0781e,Gerard Moreno,7,ESP,FW,31-335,64,0,0,0,0,1,0,0,0,32,1,0,0,0.1,0.1,0.0,1,0,16,20,80.0,4,23,2,3,1,Villarreal,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
e5d01ecf,Kiko Femenía,17,ESP,RB,33-034,26,0,0,0,0,0,0,0,0,15,0,1,1,0.0,0.0,0.0,0,0,11,12,91.7,1,8,0,0,0,Villarreal,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
518f2234,Alex Baena,16,ESP,LM,22-231,90,0,0,0,0,0,0,0,0,14,0,2,0,0.0,0.0,0.0,1,0,9,13,69.2,0,10,1,0,0,Villarreal,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
a6951bf8,Francis Coquelin,19,FRA,CM,32-299,68,0,0,0,0,2,0,0,0,27,0,0,1,0.1,0.1,0.0,0,0,21,22,95.5,1,19,0,0,0,Villarreal,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
5acc4a10,Étienne Capoue,6,FRA,CM,35-240,22,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,11,12,91.7,0,12,1,0,0,Villarreal,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
5ae499d0,Santi Comesaña,4,ESP,CM,27-154,45,0,0,0,0,0,0,1,0,15,0,1,0,0.0,0.0,0.0,1,0,9,11,81.8,1,10,0,0,0,Villarreal,2024-03-07 Marseille-Villarreal,UEL,23-24,8e3c0d7f
