id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8f3565b3,Ante Budimir,22,CRO,FW,28-053,74,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,6,11,54.5,1,9,0,0,0,Mallorca,2019-09-13 Mallorca-Athletic Club,ESP-LALIGA,19-20,f685a534
d1b060e2,Abdón Prats,9,ESP,FW,26-280,16,0,0,0,1,0,0,1,0,2,0,0,0,0.8,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Mallorca,2019-09-13 Mallorca-Athletic Club,ESP-LALIGA,19-20,f685a534
38126309,Aleix Febas,23,ESP,FW,23-223,83,0,0,0,0,0,0,0,0,37,0,0,2,0.0,0.0,0.4,5,0,21,26,80.8,5,24,4,4,3,Mallorca,2019-09-13 Mallorca-Athletic Club,ESP-LALIGA,19-20,f685a534
46166b49,Álex Alegría,10,ESP,FW,26-338,7,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0,Mallorca,2019-09-13 Mallorca-Athletic Club,ESP-LALIGA,19-20,f685a534
360d70f8,Lago Junior,11,CIV,LM,28-256,90,0,0,0,0,1,0,0,0,49,0,0,0,0.4,0.4,0.2,3,0,22,30,73.3,2,33,4,5,2,Mallorca,2019-09-13 Mallorca-Athletic Club,ESP-LALIGA,19-20,f685a534
75bd85ea,Salva Sevilla,8,ESP,CM,35-179,90,0,0,0,0,2,1,1,0,60,0,0,0,0.1,0.1,0.3,4,0,47,56,83.9,10,26,0,0,0,Mallorca,2019-09-13 Mallorca-Athletic Club,ESP-LALIGA,19-20,f685a534
bfd381b3,Iddrisu Baba,12,GHA,CM,23-234,90,0,0,0,0,1,0,0,0,49,0,0,0,0.2,0.2,0.0,3,0,28,37,75.7,4,29,1,1,1,Mallorca,2019-09-13 Mallorca-Athletic Club,ESP-LALIGA,19-20,f685a534
70f8e0bd,Dani Rodríguez,14,ESP,RM,31-099,62,0,0,0,0,2,0,1,0,26,1,0,0,0.1,0.1,0.0,1,0,17,17,100.0,4,18,3,3,2,Mallorca,2019-09-13 Mallorca-Athletic Club,ESP-LALIGA,19-20,f685a534
16aa3654,Takefusa Kubo,26,JPN,RM,18-101,28,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,1,0,1,8,12.5,0,7,2,0,0,Mallorca,2019-09-13 Mallorca-Athletic Club,ESP-LALIGA,19-20,f685a534
e4086af3,Baba Rahman,18,GHA,LB,25-073,90,0,0,0,0,1,0,1,0,63,2,1,1,0.1,0.1,0.0,0,0,34,52,65.4,5,24,4,1,0,Mallorca,2019-09-13 Mallorca-Athletic Club,ESP-LALIGA,19-20,f685a534
b857bd29,Antonio Raillo,21,ESP,CB,27-340,90,0,0,0,0,1,0,0,0,32,1,0,0,0.1,0.1,0.0,0,0,19,26,73.1,1,11,0,0,0,Mallorca,2019-09-13 Mallorca-Athletic Club,ESP-LALIGA,19-20,f685a534
f2c6ac01,Martin Valjent,24,SVK,CB,23-276,90,0,0,0,0,0,0,0,0,34,3,0,0,0.0,0.0,0.0,0,0,22,27,81.5,2,14,0,0,0,Mallorca,2019-09-13 Mallorca-Athletic Club,ESP-LALIGA,19-20,f685a534
f9acf8bf,Joan Sastre Vanrell,2,ESP,RB,22-136,90,0,0,0,0,1,0,0,0,53,1,0,1,0.0,0.0,0.0,0,0,26,43,60.5,6,21,2,1,0,Mallorca,2019-09-13 Mallorca-Athletic Club,ESP-LALIGA,19-20,f685a534
