id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8b788c01,Anthony Martial,9,FRA,FW,27-029,68,0,0,0,0,2,0,0,0,25,0,0,0,0.3,0.3,0.0,1,0,17,21,81.0,3,12,1,1,0,Manchester United,2023-01-03 Manchester Utd-Bournemouth,ENG-EPL,22-23,63fc7f12
2fba6108,Anthony Elanga,36,SWE,FW,20-251,22,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.0,1,0,3,6,50.0,0,6,0,0,0,Manchester United,2023-01-03 Manchester Utd-Bournemouth,ENG-EPL,22-23,63fc7f12
a1d5bd30,Marcus Rashford,10,ENG,"RW,LW",25-064,90,1,0,0,0,3,1,0,0,49,0,1,0,0.5,0.5,0.1,3,1,29,39,74.4,3,29,6,6,2,Manchester United,2023-01-03 Manchester Utd-Bournemouth,ENG-EPL,22-23,63fc7f12
507c7bdf,Bruno Fernandes,8,POR,"AM,RW",28-117,90,0,1,0,0,3,1,0,0,68,2,0,0,0.2,0.2,0.7,8,2,41,59,69.5,8,46,6,2,1,Manchester United,2023-01-03 Manchester Utd-Bournemouth,ENG-EPL,22-23,63fc7f12
50dc94ce,Donny van de Beek,34,NED,AM,25-260,44,0,0,0,0,0,0,0,0,17,0,1,1,0.0,0.0,0.0,1,0,7,14,50.0,0,12,0,0,0,Manchester United,2023-01-03 Manchester Utd-Bournemouth,ENG-EPL,22-23,63fc7f12
7aa8adfe,Alejandro Garnacho,49,ARG,LW,18-186,46,0,1,0,0,3,1,0,0,17,0,1,1,0.2,0.2,0.3,3,1,9,9,100.0,0,11,1,2,0,Manchester United,2023-01-03 Manchester Utd-Bournemouth,ENG-EPL,22-23,63fc7f12
980522ec,Christian Eriksen,14,DEN,DM,30-323,67,0,1,0,0,1,0,0,0,74,2,0,0,0.1,0.1,0.4,2,1,56,67,83.6,7,38,1,1,0,Manchester United,2023-01-03 Manchester Utd-Bournemouth,ENG-EPL,22-23,63fc7f12
b853e0ad,Fred,17,BRA,DM,29-304,23,0,0,0,0,0,0,0,0,22,0,1,1,0.0,0.0,0.1,3,0,19,19,100.0,3,11,0,0,0,Manchester United,2023-01-03 Manchester Utd-Bournemouth,ENG-EPL,22-23,63fc7f12
4d224fe8,Casemiro,18,BRA,DM,30-314,90,1,0,0,0,2,1,0,0,68,1,0,1,0.5,0.5,0.2,3,0,51,60,85.0,4,36,0,1,0,Manchester United,2023-01-03 Manchester Utd-Bournemouth,ENG-EPL,22-23,63fc7f12
9c94165b,Luke Shaw,23,ENG,LB,27-175,90,1,0,0,0,1,1,0,0,116,1,0,1,0.3,0.3,0.1,4,1,92,104,88.5,10,82,1,2,1,Manchester United,2023-01-03 Manchester Utd-Bournemouth,ENG-EPL,22-23,63fc7f12
f5deef4c,Victor Lindelöf,2,SWE,CB,28-170,87,0,0,0,0,0,0,0,0,90,0,1,1,0.0,0.0,0.0,0,0,78,84,92.9,4,65,0,0,0,Manchester United,2023-01-03 Manchester Utd-Bournemouth,ENG-EPL,22-23,63fc7f12
bac46a10,Lisandro Martínez,6,ARG,CB,24-350,3,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,3,4,75.0,1,3,0,0,0,Manchester United,2023-01-03 Manchester Utd-Bournemouth,ENG-EPL,22-23,63fc7f12
d8931174,Harry Maguire,5,ENG,CB,29-304,90,0,0,0,0,0,0,0,0,74,2,2,1,0.0,0.0,0.0,0,0,58,65,89.2,3,47,0,0,0,Manchester United,2023-01-03 Manchester Utd-Bournemouth,ENG-EPL,22-23,63fc7f12
