id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
0b4f388a,Breel Embolo,36,SUI,FW,27-218,58,0,0,0,0,2,2,0,0,11,0,0,0,0.2,0.2,0.0,0,0,7,8,87.5,1,4,0,1,1,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
78c3ad07,George Ilenikhena,21,FRA,FW,18-034,32,1,0,0,0,2,1,0,0,6,0,0,0,0.4,0.4,0.0,0,0,2,2,100.0,1,4,1,1,1,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
3bd65247,Eliesse Ben Seghir,7,MAR,LW,19-216,69,0,0,0,0,2,1,1,0,45,2,0,0,0.1,0.1,0.0,3,0,26,35,74.3,6,25,4,5,2,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
30af8b93,Caio Henrique Oliveira Silva,12,BRA,"LM,LW",27-050,21,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,11,17,64.7,1,6,1,0,0,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
b625b241,Maghnes Akliouche,11,FRA,"RW,RM",22-207,90,1,0,0,0,1,1,0,0,49,1,1,1,0.1,0.1,0.1,5,1,37,44,84.1,6,27,4,2,2,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
f833a830,Takumi Minamino,18,JPN,AM,29-247,69,0,0,0,0,3,0,0,0,19,2,1,0,0.1,0.1,0.1,5,0,6,11,54.5,2,9,0,0,0,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
31822f8c,Folarin Balogun,9,USA,"FW,AM",23-078,21,0,0,0,0,2,1,1,0,9,0,0,0,0.1,0.1,0.1,1,0,4,5,80.0,0,5,1,3,2,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
19c2ffa4,Lamine Camara,15,SEN,DM,20-262,45,0,0,0,0,2,0,1,0,33,0,0,2,0.1,0.1,0.1,3,0,16,23,69.6,2,9,1,1,0,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
3708e9fa,Aleksandr Golovin,10,RUS,"DM,CM",28-112,45,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.1,5,0,28,36,77.8,5,25,0,2,1,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
384d58d9,Denis Zakaria,6,SUI,"DM,CM",27-304,90,0,0,0,0,0,0,0,0,52,1,0,1,0.0,0.0,0.1,1,0,44,45,97.8,5,16,0,0,0,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
ee45fd85,Vanderson,2,BRA,LB,23-090,87,0,2,0,0,1,1,0,0,61,1,2,1,0.0,0.0,0.5,3,2,37,51,72.5,4,24,1,1,0,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
2c70d915,Christian Mawissa,13,FRA,LB,19-154,3,0,0,0,0,0,0,1,0,6,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,1,3,0,1,0,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
0b33f6ad,Mohammed Salisu,22,GHA,CB,25-155,90,0,0,0,0,1,1,0,0,69,2,2,0,0.1,0.1,0.0,0,0,50,58,86.2,5,32,0,0,0,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
51dbeea9,Thilo Kehrer,5,GER,CB,27-364,90,0,0,0,0,1,0,0,0,61,1,1,0,0.1,0.1,0.0,3,0,54,58,93.1,6,30,0,0,0,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
8b609c34,Wilfried Singo,17,CIV,RB,23-269,90,0,0,0,0,1,0,0,0,63,2,0,1,0.0,0.0,0.1,1,0,44,58,75.9,4,26,1,0,0,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
ff74841d,Philipp Köhn,16,SUI,GK,26-170,90,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,0,0,17,23,73.9,0,10,0,0,0,Monaco,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
8d78e732,Robert Lewandowski,9,POL,FW,36-029,79,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.2,0,0,14,19,73.7,3,8,0,0,0,Barcelona,2024-09-19 Monaco-Barcelona,UCL,24-25,745d19c2
