id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
be47b750,Simon Banza,23,COD,FW,27-186,90,1,0,0,0,3,2,0,0,27,1,0,2,1.1,1.1,0.0,2,0,4,13,30.8,2,16,2,1,1,Braga,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
6cbf8d0d,Abel Ruiz,9,ESP,LM,24-018,90,0,0,0,0,2,0,1,0,46,0,0,2,0.1,0.1,0.1,3,0,30,38,78.9,4,27,2,2,0,Braga,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
fc3697dd,Rodrigo Zalazar,16,URU,CM,24-187,66,0,0,0,0,0,0,0,0,40,1,1,0,0.0,0.0,0.2,5,0,24,37,64.9,3,22,3,6,3,Braga,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
96094cbc,Pizzi,22,POR,CM,34-132,24,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,3,1,21,28,75.0,5,19,4,1,1,Braga,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
adc77724,Vitor Carvalho,18,BRA,CM,26-264,75,0,0,0,0,2,1,0,0,41,0,1,0,0.1,0.1,0.0,1,0,27,36,75.0,4,24,1,0,0,Braga,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
3b88609d,Cher Ndour,10,ITA,CM,19-203,15,0,0,0,0,1,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,11,15,73.3,2,10,1,0,0,Braga,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
45c29ae7,Álvaro djaló,14,ESP,RM,24-183,55,0,0,0,0,2,2,0,0,22,4,0,0,0.2,0.2,0.0,0,0,9,14,64.3,0,12,1,2,0,Braga,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
de8f6250,Roger Fernandes,11,GNB,RM,18-086,35,0,0,0,0,1,1,0,0,27,1,0,1,0.0,0.0,0.0,2,1,16,19,84.2,0,16,2,2,0,Braga,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
f5a00fa4,João Moutinho,28,POR,DM,37-160,90,1,0,1,1,0,0,0,0,79,4,0,2,0.8,0.0,0.4,4,0,63,69,91.3,12,40,3,0,0,Braga,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
9d7d5334,Cristian Borja,26,COL,LB,30-362,90,0,0,0,0,1,0,0,0,55,1,0,1,0.0,0.0,0.0,2,0,40,49,81.6,6,28,3,1,1,Braga,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
8eef18aa,Sikou Niakaté,4,MLI,CB,24-220,90,0,0,0,0,2,0,0,0,73,2,1,2,0.3,0.3,0.0,3,1,53,64,82.8,5,38,1,0,0,Braga,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
a8fbae1d,Paulo Oliveira,15,POR,CB,32-038,90,0,0,0,0,0,0,0,0,65,0,0,3,0.0,0.0,0.0,0,0,41,59,69.5,2,31,2,0,0,Braga,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
b7de5bad,Victor Gomez,2,ESP,RB,23-320,75,0,0,0,0,1,1,0,0,60,0,0,2,0.0,0.0,0.0,4,0,41,54,75.9,11,34,3,1,0,Braga,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
f882b0a1,Joe Mendes,17,SWE,RB,21-046,15,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,1,5,0,2,2,Braga,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
ef3909cd,Matheus,1,BRA,GK,31-211,90,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,0,0,20,21,95.2,0,5,0,0,0,Braga,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
d51bd6c5,Juninho,18,BRA,FW,27-086,85,1,0,0,0,3,1,0,0,19,0,0,2,0.3,0.3,0.1,2,0,2,4,50.0,1,12,3,2,1,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
b7bf9318,Nəriman Axundzadə,90,AZE,FW,19-298,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,1,2,1,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
4a1abff3,Abdellah Zoubir,10,FRA,LW,32-072,89,2,1,0,0,3,3,0,0,42,0,0,0,1.4,1.4,0.2,3,2,28,34,82.4,7,23,4,3,1,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
3c0aacd2,Redon Xhixha,19,ALB,LW,25-216,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
8382b207,Leandro Andrade,15,CPV,RW,24-144,67,0,0,0,0,1,0,0,0,25,0,0,2,0.1,0.1,0.0,1,0,12,17,70.6,1,14,2,2,1,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
a74ea18d,Toral Bayramov,27,AZE,RW,22-357,23,0,1,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.5,1,1,2,3,66.7,1,2,0,0,0,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
6fbde63a,Yassine Benzia,7,ALG,AM,29-160,85,0,0,0,0,1,0,0,0,36,0,0,1,0.1,0.1,0.1,5,2,22,32,68.8,2,26,1,4,2,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
4a396ae9,Hamidou Keyta,17,FRA,AM,29-060,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,1,1,1,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
9866afec,Marko Janković,8,MNE,DM,28-221,90,1,0,1,1,1,0,0,0,57,1,3,3,0.8,0.1,0.0,3,1,40,47,85.1,5,21,1,3,0,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
fef20ac5,Julio Romão,6,BRA,DM,25-323,85,0,0,0,0,1,0,1,0,44,7,4,3,0.0,0.0,0.0,0,0,22,24,91.7,2,18,0,1,1,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
d52b2a9f,Aleksei Isayev,24,AZE,DM,28-098,5,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,2,5,0,0,0,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
235a646b,Elvin Cəfərquliyev,44,AZE,LB,23-112,90,0,0,0,0,0,0,0,0,54,2,1,1,0.0,0.0,0.0,1,1,27,41,65.9,3,13,0,3,0,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
4f5a953e,Badavi Huseynov,55,AZE,CB,32-219,90,0,0,0,0,0,0,0,0,54,2,1,2,0.0,0.0,0.0,0,0,37,44,84.1,2,22,0,0,0,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
808035bd,Bəhlul Mustafazadə,13,AZE,CB,26-353,90,0,0,0,0,0,0,0,0,53,1,2,0,0.0,0.0,0.0,0,0,31,38,81.6,1,29,0,0,0,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
79ccb6eb,Matheus Silva,2,BRA,RB,26-135,90,0,0,0,0,0,0,1,0,49,1,0,1,0.0,0.0,0.0,2,0,28,41,68.3,0,13,1,0,0,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
8a6ab963,Andrey Lunyov,99,RUS,GK,32-094,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,1,0,27,41,65.9,0,28,0,0,0,Qarabağ,2024-02-15 Braga-Qarabağ,UEL,23-24,d8ca0ed5
