id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
f7036e1c,Lautaro Martínez,10,ARG,FW,25-016,90,0,0,0,0,1,0,0,0,36,3,2,1,0.0,0.0,0.0,1,0,15,19,78.9,1,16,1,0,0,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
3bb7f478,Edin Džeko,9,BIH,FW,36-174,70,0,0,0,0,3,1,0,0,35,1,0,1,0.2,0.2,0.0,1,0,18,24,75.0,3,13,2,2,2,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
45b9b619,Joaquín Correa,11,ARG,FW,28-025,20,0,0,0,0,1,0,0,0,9,0,0,0,0.2,0.2,0.0,0,0,5,7,71.4,2,8,0,1,0,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
cd0fa27b,Hakan Çalhanoğlu,20,TUR,CM,28-211,80,0,0,0,0,1,0,0,0,49,0,0,0,0.0,0.0,0.1,4,0,40,43,93.0,6,24,1,3,0,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
ce30bfc8,Roberto Gagliardini,5,ITA,CM,28-153,10,0,0,0,0,0,0,0,0,9,0,0,2,0.0,0.0,0.2,0,0,6,7,85.7,1,7,0,0,0,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
33b8d077,Marcelo Brozović,77,CRO,CM,29-295,90,0,0,0,0,0,0,0,0,81,2,1,3,0.0,0.0,0.0,0,0,61,70,87.1,3,47,0,0,0,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
dd0daf32,Henrikh Mkhitaryan,22,ARM,CM,33-229,90,0,0,0,0,0,0,0,0,52,2,2,0,0.0,0.0,0.0,2,0,36,44,81.8,7,30,2,0,0,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
2d970560,Robin Gosens,8,GER,WB,28-064,90,0,0,0,0,0,0,0,0,62,5,1,0,0.0,0.0,0.0,1,0,46,55,83.6,6,26,2,1,0,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
481c9ece,Denzel Dumfries,2,NED,WB,26-142,70,0,0,0,0,1,0,0,0,37,1,0,1,0.1,0.1,0.0,1,0,20,32,62.5,0,23,3,2,1,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
96e0490d,Matteo Darmian,36,ITA,WB,32-279,20,0,0,0,0,0,0,0,0,15,0,1,1,0.0,0.0,0.0,0,0,10,11,90.9,0,6,0,0,0,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
75b86fb3,Alessandro Bastoni,95,ITA,CB,23-147,70,0,0,0,0,0,0,0,0,56,1,3,0,0.0,0.0,0.0,0,0,44,52,84.6,3,26,1,0,0,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
970b8574,Federico Dimarco,32,ITA,CB,24-301,20,0,0,0,0,0,0,1,0,19,0,1,1,0.0,0.0,0.0,0,0,15,17,88.2,2,12,1,0,0,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
30f5ffa9,Milan Škriniar,37,SVK,CB,27-208,70,0,0,0,0,0,0,0,0,46,1,2,2,0.0,0.0,0.0,0,0,33,35,94.3,0,18,0,0,0,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
d0d8dd44,Stefan de Vrij,6,NED,CB,30-214,20,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,9,9,100.0,0,8,0,0,0,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
44eb9093,Danilo D'Ambrosio,33,ITA,CB,33-363,90,0,0,0,0,2,1,0,0,65,0,2,1,0.2,0.2,0.0,1,0,44,55,80.0,7,36,1,3,1,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
e9c0c1b2,André Onana,24,CMR,GK,26-158,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,26,42,61.9,0,25,0,0,0,Internazionale,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
c691bfe2,Sadio Mané,17,SEN,FW,30-150,90,0,0,0,0,1,1,0,0,26,1,0,1,0.2,0.2,0.2,3,0,17,19,89.5,5,14,0,2,1,Bayern Munich,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
2b114be3,Leroy Sané,10,GER,LW,26-239,83,1,0,0,0,2,1,0,0,54,1,1,0,0.9,0.9,0.3,4,0,38,47,80.9,7,41,5,3,2,Bayern Munich,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
2c0558b8,Jamal Musiala,42,GER,LW,19-193,7,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,1,0,0,Bayern Munich,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
042e8a49,Kingsley Coman,11,FRA,RW,26-086,74,0,0,0,0,2,0,0,0,50,3,1,1,0.3,0.3,0.4,8,0,32,40,80.0,4,36,7,2,1,Bayern Munich,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
88e357ef,Serge Gnabry,7,GER,RW,27-055,16,0,0,0,0,2,0,0,0,14,0,0,0,0.2,0.2,0.0,0,0,9,11,81.8,1,11,1,0,0,Bayern Munich,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
3c6089ab,Thomas Müller,25,GER,AM,32-359,90,0,0,0,0,5,3,0,0,53,0,1,3,0.6,0.6,0.0,5,0,35,41,85.4,8,33,3,0,0,Bayern Munich,2022-09-07 Inter-Bayern Munich,UCL,22-23,d3038dc6
