id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
f63cda26,Gonçalo Ramos,9,POR,FW,22-322,62,0,0,0,0,5,1,0,0,20,1,0,0,1.3,1.3,0.3,1,0,13,14,92.9,2,15,0,0,0,Paris Saint-Germain,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
a0d55a09,Bradley Barcola,29,FRA,FW,21-248,28,0,0,0,0,1,0,0,0,20,1,0,0,0.0,0.0,0.0,3,0,11,15,73.3,0,13,3,4,3,Paris Saint-Germain,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
42fd9c7f,Kylian Mbappé,7,FRA,LW,25-139,90,0,0,0,0,5,3,0,0,46,1,0,0,0.5,0.5,0.1,6,0,23,33,69.7,0,36,6,3,3,Paris Saint-Germain,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
b19db005,Ousmane Dembélé,10,FRA,RW,26-358,90,0,0,0,0,1,0,1,0,79,3,0,2,0.1,0.1,0.2,9,0,40,66,60.6,8,61,9,6,2,Paris Saint-Germain,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
c0c7ff58,Fabián Ruiz Peña,8,ESP,LM,28-034,62,0,0,0,0,1,0,0,0,52,1,2,0,0.0,0.0,0.0,1,0,44,49,89.8,8,46,1,0,0,Paris Saint-Germain,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
45af8a54,Marco Asensio,11,ESP,LM,28-107,28,0,0,0,0,3,0,0,0,14,0,0,0,0.2,0.2,0.1,2,0,9,11,81.8,3,9,0,0,0,Paris Saint-Germain,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
3b029691,Vitinha,17,POR,CM,24-084,90,0,0,0,0,6,1,0,0,76,0,1,0,0.1,0.1,0.4,6,0,64,68,94.1,13,62,1,2,1,Paris Saint-Germain,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
6b9960cf,Warren Zaïre-Emery,33,FRA,RM,18-060,75,0,0,0,0,1,0,0,0,53,2,1,2,0.3,0.3,0.1,5,0,40,40,100.0,3,38,3,1,0,Paris Saint-Germain,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
8455ad90,Lee Kang-in,19,KOR,RM,23-078,15,0,0,0,0,1,0,0,0,26,0,0,0,0.1,0.1,0.3,6,0,20,23,87.0,4,17,1,2,2,Paris Saint-Germain,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
f20e4cc9,Nuno Mendes,25,POR,LB,21-323,90,0,0,0,0,3,0,0,0,90,2,1,1,0.1,0.1,0.3,6,0,69,82,84.1,7,68,0,0,0,Paris Saint-Germain,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
b8aedf06,Lucas Beraldo,35,BRA,CB,20-165,90,0,0,0,0,0,0,0,0,107,0,0,2,0.0,0.0,0.0,0,0,92,98,93.9,5,86,0,0,0,Paris Saint-Germain,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
d5f2f82b,Marquinhos,5,BRA,CB,29-359,90,0,0,0,0,2,0,0,0,108,3,2,0,0.4,0.4,0.0,0,0,90,100,90.0,14,93,2,0,0,Paris Saint-Germain,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
e42d61c7,Achraf Hakimi,2,MAR,RB,25-185,90,0,0,0,0,1,0,1,0,123,3,1,0,0.1,0.1,0.6,11,0,89,110,80.9,13,91,4,3,0,Paris Saint-Germain,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
08f5afaa,Gianluigi Donnarumma,99,ITA,GK,25-072,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,20,20,100.0,0,16,0,0,0,Paris Saint-Germain,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
4f16405e,Niclas Füllkrug,14,GER,FW,31-088,90,0,0,0,0,1,1,0,0,39,0,0,0,0.0,0.0,0.1,2,0,24,34,70.6,2,28,2,1,1,Dortmund,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
501055d8,Karim Adeyemi,27,GER,LW,22-110,55,0,0,0,0,2,1,0,0,20,0,1,0,0.2,0.2,0.0,0,0,8,11,72.7,0,16,0,2,0,Dortmund,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
36a3ff67,Marco Reus,11,GER,"LM,LW",34-342,35,0,0,0,0,0,0,0,0,19,1,0,2,0.0,0.0,0.0,0,0,8,10,80.0,1,10,0,0,0,Dortmund,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
dbf053da,Jadon Sancho,10,ENG,RW,24-043,66,0,0,0,0,0,0,0,0,33,0,1,3,0.0,0.0,0.0,1,0,17,24,70.8,4,27,4,6,3,Dortmund,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
e33c06cf,Niklas Süle,25,GER,CB,28-247,24,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Dortmund,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
a167537f,Julian Brandt,19,GER,"AM,RM",28-005,84,0,1,0,0,1,0,0,0,47,2,0,1,0.1,0.1,0.6,6,1,32,39,82.1,4,34,3,3,2,Dortmund,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
091c86e2,Felix Nmecha,8,GER,RM,23-210,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,3,1,0,0,Dortmund,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
a65ce836,Emre Can,23,GER,"DM,CM",30-116,90,0,0,0,0,0,0,0,0,43,3,2,3,0.0,0.0,0.0,0,0,25,32,78.1,1,31,1,0,0,Dortmund,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
e280527c,Marcel Sabitzer,20,AUT,"DM,CM",30-051,90,0,0,0,0,0,0,1,0,23,1,2,1,0.0,0.0,0.1,1,0,10,13,76.9,2,12,0,0,0,Dortmund,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
cab9634e,Ian Maatsen,22,NED,LB,22-058,90,0,0,0,0,0,0,0,0,65,1,2,2,0.0,0.0,0.0,1,0,34,46,73.9,0,34,2,6,2,Dortmund,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
34e12499,Nico Schlotterbeck,4,GER,CB,24-158,90,0,0,0,0,1,0,0,0,62,4,0,1,0.0,0.0,0.0,0,0,37,43,86.0,1,33,0,1,1,Dortmund,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
05d548d8,Mats Hummels,15,GER,CB,35-143,90,1,0,0,0,1,1,1,0,42,4,3,3,0.4,0.4,0.0,0,0,14,19,73.7,0,14,1,0,0,Dortmund,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
009a4f60,Julian Ryerson,26,NOR,RB,26-172,90,0,0,0,0,1,0,0,0,49,2,1,3,0.0,0.0,0.0,2,0,25,33,75.8,2,24,1,3,1,Dortmund,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
cd59b9df,Gregor Kobel,1,SUI,GK,26-153,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,18,27,66.7,0,24,0,0,0,Dortmund,2024-05-07 Paris S-G-Dortmund,UCL,23-24,79d4acbd
