id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d51bd6c5,Juninho,18,BRA,FW,27-023,84,0,0,0,0,2,0,0,0,21,4,0,0,0.1,0.1,0.1,2,0,11,12,91.7,2,12,1,1,1,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
a74ea18d,Toral Bayramov,27,AZE,"RW,FW",22-294,6,0,0,0,0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
4a1abff3,Abdellah Zoubir,10,FRA,LW,32-009,89,0,0,0,0,1,0,0,0,50,0,1,1,0.1,0.1,0.2,3,0,33,40,82.5,1,35,8,4,2,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
3c0aacd2,Redon Xhixha,19,ALB,LW,25-153,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
8382b207,Leandro Andrade,15,CPV,"RW,RB",24-081,84,1,0,0,0,2,1,0,0,35,4,2,2,0.1,0.1,0.0,1,0,18,21,85.7,5,14,2,4,3,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
b7bf9318,Nəriman Axundzadə,90,AZE,"FW,RW",19-235,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,4,4,100.0,0,2,0,0,0,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
6fbde63a,Yassine Benzia,7,ALG,"AM,RW",29-097,59,1,0,0,0,1,1,0,0,34,2,0,1,0.0,0.0,0.1,1,0,22,28,78.6,2,13,0,1,0,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
79ccb6eb,Matheus Silva,2,BRA,RB,26-072,31,0,0,0,0,1,1,0,0,10,0,0,1,0.1,0.1,0.0,0,0,5,6,83.3,0,6,2,0,0,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
9866afec,Marko Janković,8,MNE,DM,28-158,89,0,0,0,0,0,0,0,0,61,2,2,2,0.0,0.0,0.1,1,0,43,49,87.8,6,38,1,4,1,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
e66c698a,Patrick Andrade,66,CPV,DM,30-308,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
fef20ac5,Julio Romão,6,BRA,DM,25-260,90,0,0,0,0,0,0,0,0,45,3,1,0,0.0,0.0,0.0,4,1,34,41,82.9,2,28,0,1,1,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
235a646b,Elvin Cəfərquliyev,44,AZE,LB,23-049,90,0,0,0,0,0,0,0,0,62,2,0,2,0.0,0.0,0.0,1,1,43,52,82.7,2,33,3,2,1,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
4f5a953e,Badavi Huseynov,55,AZE,CB,32-156,90,0,0,0,0,0,0,0,0,57,0,0,1,0.0,0.0,0.0,0,0,44,52,84.6,1,30,0,0,0,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
808035bd,Bəhlul Mustafazadə,13,AZE,CB,26-290,90,0,0,0,0,1,0,0,0,39,0,1,1,0.1,0.1,0.0,0,0,31,33,93.9,0,23,0,0,0,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
24baba9d,Marko Vešović,29,MNE,RB,32-108,55,0,0,0,0,0,0,0,1,34,0,1,0,0.0,0.0,0.0,1,0,22,27,81.5,3,22,0,3,1,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
8a6ab963,Andrey Lunyov,99,RUS,GK,32-031,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,1,0,16,35,45.7,0,16,0,0,0,Qarabağ,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
2e820983,Ali Youssef,10,TUN,FW,23-131,69,0,0,0,0,2,0,0,0,14,0,0,0,0.1,0.1,0.0,1,0,7,9,77.8,0,6,1,1,1,Häcken,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
dacd983e,John Paul Dembe,33,UGA,FW,18-164,21,0,0,0,0,2,1,0,0,6,0,0,0,0.6,0.6,0.0,1,0,3,3,100.0,0,3,0,0,0,Häcken,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
fd0a98c8,Momodou Sonko,23,SWE,LW,18-317,81,0,0,0,0,2,0,1,0,34,3,0,0,0.1,0.1,0.3,6,0,20,23,87.0,1,19,2,6,5,Häcken,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
e134351a,Ola Kamara,9,NOR,LW,34-060,9,0,0,0,0,3,0,0,0,4,0,0,0,0.2,0.2,0.0,0,0,1,1,100.0,0,3,0,0,0,Häcken,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
b7b27de0,Edward Chilufya,17,ZAM,RW,24-088,90,0,0,0,0,4,1,0,0,34,4,0,0,0.5,0.5,0.6,1,0,14,16,87.5,1,19,2,3,1,Häcken,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
e134b9f9,Romeo Amane,27,CIV,LM,20-297,90,0,0,0,0,4,1,0,0,69,0,2,0,0.4,0.4,0.5,4,0,44,54,81.5,3,40,5,6,5,Häcken,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
b1e61f23,Samuel Gustafson,11,SWE,CM,28-337,90,0,0,0,0,0,0,0,0,86,0,1,1,0.0,0.0,0.1,1,0,73,81,90.1,16,54,1,0,0,Häcken,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
5f3a46fb,Mikkel Rygaard Jensen,18,DEN,RM,32-354,45,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,3,0,14,16,87.5,1,14,0,1,0,Häcken,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
62cf5c04,Pontus Dahbo,16,SWE,RM,18-064,45,0,0,0,0,0,0,0,0,28,1,0,2,0.0,0.0,0.0,1,0,19,24,79.2,1,18,0,1,1,Häcken,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
8bb174fc,Tomas Totland,21,NOR,LB,25-077,90,0,0,0,0,0,0,0,0,57,1,2,1,0.0,0.0,0.1,3,0,40,48,83.3,5,28,0,2,2,Häcken,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
d1fea02e,Even Hovland,5,NOR,CB,34-303,90,0,0,0,0,0,0,1,0,88,1,1,0,0.0,0.0,0.1,3,0,72,80,90.0,10,44,4,0,0,Häcken,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
2973a975,Aiham Ousou,4,SYR,CB,23-339,90,0,0,0,0,2,1,0,0,77,1,0,0,0.0,0.0,0.0,6,0,62,71,87.3,7,43,2,0,0,Häcken,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
05b00fef,Simon Sandberg,13,SWE,RB,29-264,62,0,0,0,0,0,0,0,0,40,1,0,1,0.0,0.0,0.0,1,0,29,36,80.6,1,14,0,0,0,Häcken,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
4d2d7ea5,Abdulrazaq Ishaq,8,NGA,RB,21-223,28,0,0,0,0,0,0,0,0,29,1,0,0,0.0,0.0,0.1,3,0,24,27,88.9,1,19,0,1,0,Häcken,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
40e57039,Peter Abrahamsson,26,SWE,GK,35-149,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,28,34,82.4,0,17,0,0,0,Häcken,2023-12-14 Qarabağ-Häcken,UEL,23-24,29b2a5f9
