id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
0d7b6576,Elye Wahi,9,FRA,FW,20-295,71,1,0,0,0,3,1,0,0,18,0,0,0,0.3,0.3,0.0,2,0,6,8,75.0,0,16,0,6,0,Lens,2023-10-24 Lens-PSV Eindhoven,UCL,23-24,53a663a7
79b51257,Morgan Guilavogui,27,GUI,FW,25-228,19,0,0,0,0,0,0,0,0,13,0,0,3,0.0,0.0,0.1,1,0,4,6,66.7,1,9,1,0,0,Lens,2023-10-24 Lens-PSV Eindhoven,UCL,23-24,53a663a7
4b96c347,Angelo Fulgini,11,FRA,AM,27-065,62,0,0,0,0,1,0,0,0,38,1,1,0,0.0,0.0,0.3,2,0,21,29,72.4,3,30,0,0,0,Lens,2023-10-24 Lens-PSV Eindhoven,UCL,23-24,53a663a7
c76b7567,Adrien Thomasson,28,FRA,CM,29-318,28,0,0,0,0,1,0,1,0,14,0,0,1,0.1,0.1,0.0,0,0,10,11,90.9,5,10,0,0,0,Lens,2023-10-24 Lens-PSV Eindhoven,UCL,23-24,53a663a7
7a42d0df,Florian Sotoca,7,FRA,AM,32-364,62,0,0,0,0,1,0,0,0,37,1,0,2,0.0,0.0,0.1,2,0,15,25,60.0,3,24,0,2,1,Lens,2023-10-24 Lens-PSV Eindhoven,UCL,23-24,53a663a7
90fcf472,Wesley Saïd,22,FRA,AM,28-188,28,0,0,0,0,2,0,1,0,13,0,0,0,0.1,0.1,0.0,0,0,6,9,66.7,1,10,1,0,0,Lens,2023-10-24 Lens-PSV Eindhoven,UCL,23-24,53a663a7
82464ce3,Salis Abdul Samed,6,GHA,CM,23-212,90,0,0,0,0,0,0,1,0,50,2,2,2,0.0,0.0,0.1,3,0,38,44,86.4,3,38,2,0,0,Lens,2023-10-24 Lens-PSV Eindhoven,UCL,23-24,53a663a7
1598599e,Nampalys Mendy,26,SEN,CM,31-123,62,0,0,0,0,0,0,1,0,35,2,4,0,0.0,0.0,0.0,1,0,17,27,63.0,3,22,0,0,0,Lens,2023-10-24 Lens-PSV Eindhoven,UCL,23-24,53a663a7
59948ef7,David Pereira da Costa,10,POR,AM,22-292,28,0,0,0,0,0,0,0,0,22,0,1,0,0.0,0.0,0.0,0,0,14,19,73.7,4,15,1,2,1,Lens,2023-10-24 Lens-PSV Eindhoven,UCL,23-24,53a663a7
b3f8bdef,Deiver Machado,3,COL,WB,30-052,81,0,0,0,0,3,1,0,0,37,2,2,0,0.1,0.1,0.0,3,0,20,28,71.4,4,19,2,2,2,Lens,2023-10-24 Lens-PSV Eindhoven,UCL,23-24,53a663a7
5167c97e,Massadio Haïdara,21,MLI,WB,30-326,9,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0,Lens,2023-10-24 Lens-PSV Eindhoven,UCL,23-24,53a663a7
00a8d210,Przemysław Frankowski,29,POL,WB,28-195,90,0,1,0,0,0,0,0,0,80,2,1,0,0.0,0.0,0.3,6,1,58,73,79.5,10,55,4,1,1,Lens,2023-10-24 Lens-PSV Eindhoven,UCL,23-24,53a663a7
6f5ec8bb,Facundo Medina,14,ARG,CB,24-149,90,0,0,0,0,1,0,0,0,60,0,1,0,0.1,0.1,0.0,0,0,47,55,85.5,4,51,2,0,0,Lens,2023-10-24 Lens-PSV Eindhoven,UCL,23-24,53a663a7
6e33125f,Kevin Danso,4,AUT,CB,25-035,90,0,0,0,0,2,0,0,0,53,1,0,1,0.3,0.3,0.0,3,1,32,39,82.1,1,34,0,3,1,Lens,2023-10-24 Lens-PSV Eindhoven,UCL,23-24,53a663a7
