id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
e8832875,João Pedro,9,BRA,FW,21-360,81,2,0,2,2,1,1,0,0,40,0,0,0,1.9,0.3,0.1,3,2,20,28,71.4,1,27,2,5,2,Brighton & Hove Albion,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
ce5143da,Danny Welbeck,18,ENG,FW,32-299,9,0,0,0,0,1,0,1,0,11,0,0,0,0.1,0.1,0.0,0,0,6,8,75.0,0,8,0,1,0,Brighton & Hove Albion,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
74618572,Kaoru Mitoma,22,JPN,LW,26-124,85,0,0,0,0,1,0,0,0,31,1,1,1,0.2,0.2,0.0,0,0,12,17,70.6,2,19,3,7,2,Brighton & Hove Albion,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
4dcec659,Simon Adingra,24,CIV,LW,21-263,5,0,0,0,0,2,1,0,0,15,0,0,0,0.1,0.1,0.0,2,0,7,8,87.5,1,12,2,3,2,Brighton & Hove Albion,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
bb5fbd2b,Solly March,7,ENG,RW,29-063,90,0,0,0,0,1,0,0,0,60,4,0,2,0.0,0.0,0.0,5,0,37,50,74.0,5,35,2,3,0,Brighton & Hove Albion,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
0ba976e4,Ansu Fati,31,ESP,AM,20-325,90,0,0,0,0,1,1,0,0,49,0,1,1,0.0,0.0,0.0,6,0,41,44,93.2,5,42,0,2,1,Brighton & Hove Albion,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
df10e27c,Billy Gilmour,11,SCO,DM,22-102,85,0,0,0,0,0,0,0,0,55,2,0,0,0.0,0.0,0.0,2,1,39,50,78.0,5,35,1,1,0,Brighton & Hove Albion,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
468a7a91,Facundo Buonanotte,40,ARG,DM,18-272,5,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,8,10,80.0,0,11,1,2,1,Brighton & Hove Albion,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
8aec0537,Pascal Groß,13,GER,DM,32-098,90,0,0,0,0,2,2,0,0,93,2,0,0,0.1,0.1,0.3,4,1,72,86,83.7,6,66,0,0,0,Brighton & Hove Albion,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
d38fdf53,Pervis Estupiñán,30,ECU,LB,25-243,90,0,0,0,0,1,0,1,0,67,3,0,0,0.0,0.0,0.0,0,0,48,60,80.0,5,41,2,0,0,Brighton & Hove Albion,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
a4e85758,Igor,3,BRA,CB,25-226,90,0,0,0,0,1,0,1,0,126,0,0,0,0.1,0.1,0.0,2,0,119,123,96.7,8,111,4,0,0,Brighton & Hove Albion,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
4fd08daa,Jan Paul van Hecke,29,NED,CB,23-105,90,0,0,0,0,2,0,1,0,113,1,1,1,0.2,0.2,0.4,3,0,96,103,93.2,15,86,3,0,0,Brighton & Hove Albion,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
2f90f6b8,James Milner,6,ENG,RB,37-260,54,0,0,0,0,0,0,0,0,29,2,0,1,0.0,0.0,0.0,1,0,19,25,76.0,3,14,1,0,0,Brighton & Hove Albion,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
f4e433d4,Tariq Lamptey,2,GHA,RB,22-356,36,0,0,0,0,0,0,0,0,34,0,3,0,0.0,0.0,0.0,0,0,25,29,86.2,2,21,1,0,0,Brighton & Hove Albion,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
28300a16,Jason Steele,23,ENG,GK,33-034,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,26,27,96.3,0,21,0,0,0,Brighton & Hove Albion,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
5a9dab86,Levi Garcia,7,TRI,FW,25-305,67,0,1,0,0,4,1,0,0,24,0,0,0,0.2,0.2,0.1,2,1,5,11,45.5,1,10,1,3,1,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
ccbbe661,Ezequiel Ponce,14,ARG,FW,26-176,23,1,0,0,0,2,2,1,0,12,0,0,0,0.8,0.8,0.0,3,1,7,9,77.8,1,4,0,0,0,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
16daec92,Mijat Gaćinović,8,SRB,LM,28-225,78,1,0,0,0,1,1,1,0,18,1,0,1,0.1,0.1,0.0,0,0,7,11,63.6,1,9,1,2,1,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
0033fb1b,Niclas Eliasson,19,SWE,LW,27-288,12,0,1,0,0,0,0,1,0,4,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,3,1,1,0,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
080ac8d8,Sergio Araujo,11,ARG,CM,31-236,67,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.2,4,1,10,16,62.5,3,11,3,1,1,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
b6a6e0a7,Steven Zuber,10,SUI,"AM,CM",32-035,23,0,0,0,0,1,0,0,0,13,0,1,1,0.0,0.0,0.0,0,0,5,8,62.5,0,4,0,0,0,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
411fabd7,Orbelín Pineda,13,MEX,CM,27-181,78,0,0,0,0,2,1,0,0,19,1,0,1,0.1,0.1,0.0,3,1,7,8,87.5,1,11,0,3,1,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
88a9ea33,Petros Mantalos,20,GRE,DM,32-021,12,0,0,0,0,0,0,1,0,7,1,1,1,0.0,0.0,0.0,0,0,3,4,75.0,0,1,0,0,0,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
7c2a398c,Nordin Amrabat,5,MAR,"RM,RW",36-174,90,0,0,0,0,0,0,0,0,25,2,0,0,0.0,0.0,0.7,2,0,13,17,76.5,0,16,2,2,2,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
53520a67,Jens Jønsson,6,DEN,DM,30-254,90,0,0,0,0,0,0,0,0,26,3,4,1,0.0,0.0,0.0,0,0,14,18,77.8,0,10,0,0,0,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
b060e3b8,Ehsan Hajsafi,28,IRN,LB,33-208,60,0,1,0,0,0,0,0,0,25,2,1,1,0.0,0.0,0.0,2,1,14,19,73.7,1,8,0,3,1,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
740a0e28,Milad Mohammadi,3,IRN,LB,29-357,30,0,0,0,0,0,0,1,0,14,1,1,1,0.0,0.0,0.0,1,0,5,9,55.6,0,4,1,1,1,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
939c6319,Gerasimos Mitoglou,24,GRE,CB,23-336,90,0,0,0,0,0,0,1,0,34,2,1,4,0.0,0.0,0.0,0,0,14,20,70.0,0,12,0,0,0,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
e935dbbf,Damian Szymański,4,POL,CB,28-097,90,0,0,0,0,0,0,1,0,37,2,2,3,0.0,0.0,0.0,0,0,14,23,60.9,0,16,1,0,0,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
4c5b714f,Djibril Sidibé,29,FRA,RB,31-054,90,1,0,0,0,1,1,1,0,27,5,1,1,0.0,0.0,0.0,0,0,7,13,53.8,0,6,0,1,0,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
27d902c8,Cican Stankovic,1,AUT,GK,30-321,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,21,34,61.8,0,10,0,0,0,AEK Athens,2023-09-21 Brighton-AEK Athens,UEL,23-24,8aebde7a
