id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
e7d59f4f,Amine Harit,11,MAR,FW,26-165,86,0,1,0,0,1,0,0,0,31,0,0,0,0.1,0.1,0.2,3,1,25,27,92.6,6,33,3,1,0,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
83299cc0,Azzedine Ounahi,8,MAR,CM,23-225,4,0,0,0,0,2,1,0,0,7,0,0,0,0.1,0.1,0.0,0,0,4,4,100.0,0,5,0,0,0,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
d5dd5f1f,Pierre-Emerick Aubameyang,10,GAB,FW,34-165,89,3,0,2,2,3,2,0,0,27,0,0,1,1.8,0.2,0.0,0,0,15,20,75.0,2,19,2,0,0,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
04ac78d2,Bamo Meïté,18,CIV,CB,21-362,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
45b9b619,Joaquín Correa,20,ARG,LM,29-109,65,0,0,0,0,1,1,0,0,24,1,0,0,0.2,0.2,0.0,2,0,15,20,75.0,2,18,1,2,1,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
5ed97752,Iliman Ndiaye,29,SEN,LM,23-269,25,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,6,0,0,0,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
4a56052c,Jordan Veretout,27,FRA,CM,30-274,86,0,0,0,0,0,0,0,0,65,2,1,0,0.0,0.0,0.1,4,0,55,62,88.7,11,53,2,1,1,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
74d4cec6,Vitinha,9,POR,FW,23-260,4,0,0,0,0,1,1,0,0,5,0,0,0,0.1,0.1,0.0,2,1,3,4,75.0,1,2,0,0,0,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
cce181df,Geoffrey Kondogbia,19,CTA,CM,30-288,90,0,0,0,0,2,0,0,0,70,9,2,0,0.1,0.1,0.0,4,1,51,57,89.5,4,51,0,1,0,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
bfdb33aa,Ismaila Sarr,23,SEN,RM,25-278,90,0,0,0,0,4,2,1,0,37,2,0,1,0.3,0.3,0.2,10,2,17,23,73.9,6,33,4,5,2,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
ed9f7cfe,Renan Lodi,12,BRA,LB,25-236,86,0,0,0,0,0,0,1,0,64,3,2,1,0.0,0.0,0.1,1,0,42,57,73.7,6,41,0,0,0,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
349cae8f,Michael Amir Murillo,62,PAN,LB,27-292,4,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,4,0,0,0,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
e76cb9cc,Chancel Mbemba,99,COD,CB,29-114,90,1,0,0,0,1,1,0,0,70,0,0,0,0.2,0.2,0.0,0,0,60,63,95.2,3,58,0,0,0,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
41eebdf5,Samuel Gigot,4,FRA,CB,30-049,90,0,0,0,0,1,0,0,0,62,1,0,0,0.2,0.2,0.0,1,0,49,57,86.0,3,44,0,0,0,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
5219ab4a,Jonathan Clauss,7,FRA,RB,31-066,90,0,1,0,0,1,0,0,0,59,1,1,1,0.0,0.0,0.6,7,2,39,51,76.5,6,37,3,0,0,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
20b9f052,Pau López,16,ESP,GK,28-352,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,31,36,86.1,0,31,0,0,0,Marseille,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
4c184730,Brian Brobbey,9,NED,FW,21-302,89,2,0,0,0,3,3,0,0,22,0,0,1,1.0,1.0,0.0,1,1,15,16,93.8,0,15,1,1,1,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
0d274394,Anass Salah-Eddine,17,NED,FW,21-316,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
a29b1131,Steven Bergwijn,7,NED,LW,26-053,90,0,0,0,0,1,1,0,0,34,0,0,0,0.1,0.1,0.0,3,1,24,28,85.7,2,30,3,2,1,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
8a310070,Carlos Forbs,11,POR,RW,19-256,45,0,0,0,0,0,0,0,0,20,0,1,2,0.0,0.0,0.2,1,0,9,13,69.2,2,16,1,1,0,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
eccf6574,Kristian Nökkvi Hlynsson,38,ISL,RW,19-311,45,0,1,0,0,0,0,1,0,21,2,0,0,0.0,0.0,0.4,4,2,12,15,80.0,2,12,1,2,1,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
713c144a,Steven Berghuis,23,NED,AM,31-346,62,0,2,0,0,0,0,0,1,53,0,0,0,0.0,0.0,0.9,5,2,45,50,90.0,4,44,1,3,0,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
ad9b2747,Kenneth Taylor,8,NED,DM,21-198,76,0,0,0,0,0,0,1,0,51,0,0,1,0.0,0.0,0.0,0,0,42,46,91.3,5,42,1,5,2,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
e2b384d2,Chuba Akpom,10,ENG,DM,28-052,14,1,0,0,0,1,1,0,0,3,0,0,0,0.3,0.3,0.0,0,0,0,1,0.0,0,1,0,0,0,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
eb3022c3,Benjamin Tahirovic,33,BIH,DM,20-272,89,0,0,0,0,0,0,0,0,58,3,1,1,0.0,0.0,0.0,0,0,43,50,86.0,4,45,0,0,0,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
98e0d76c,Jaydon Amauri Banel,49,NED,DM,19-042,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
af0d79a9,Borna Sosa,25,CRO,LB,25-313,76,0,0,0,0,0,0,0,0,42,2,1,1,0.0,0.0,0.0,0,0,32,37,86.5,2,34,1,0,0,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
364f602a,Ar'jany Martha,42,NED,LB,20-087,14,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
bde35051,Jorrel Hato,4,NED,CB,17-268,90,0,0,0,0,1,1,1,0,86,1,1,0,0.0,0.0,0.0,0,0,72,77,93.5,3,72,0,1,0,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
c5cbbcff,Devyne Rensch,2,NED,CB,20-316,90,0,0,0,0,0,0,1,0,94,1,3,1,0.0,0.0,0.0,0,0,83,87,95.4,3,83,0,0,0,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
6f7d7bc2,Anton Gaaei,3,DEN,RB,21-011,90,0,0,0,0,1,0,0,0,67,1,1,1,0.0,0.0,0.0,0,0,43,60,71.7,2,50,1,1,1,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
b90c4a43,Diant Ramaj,40,GER,GK,22-072,90,0,0,0,0,0,0,0,0,57,0,0,0,0.0,0.0,0.0,0,0,40,51,78.4,0,38,0,0,0,Ajax,2023-11-30 Marseille-Ajax,UEL,23-24,fd1247c4
