id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8c90fd7a,Victor Osimhen,9,NGA,FW,23-252,40,0,0,0,1,1,0,0,0,10,1,0,0,0.8,0.0,0.2,5,0,2,2,100.0,1,5,1,3,1,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
343c0d52,Giovanni Simeone,18,ARG,FW,27-064,50,1,0,0,0,2,1,0,0,13,1,0,0,1.0,1.0,0.3,2,0,5,6,83.3,2,9,0,1,0,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
dea88efd,Khvicha Kvaratskhelia,77,GEO,LW,21-207,56,0,1,0,0,3,0,0,0,28,0,0,1,0.3,0.3,0.9,4,2,11,18,61.1,1,15,5,8,4,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
d19ef4ef,Alessio Zerbin,23,ITA,LW,23-188,34,0,0,0,0,1,1,0,0,21,1,0,2,0.1,0.1,0.2,1,0,9,12,75.0,1,13,3,2,0,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
5e861944,Matteo Politano,21,ITA,RW,29-035,56,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,1,0,4,10,40.0,0,8,2,0,0,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
a69e4806,Hirving Lozano,11,MEX,RW,27-039,34,0,0,0,0,2,1,0,0,16,0,0,0,0.2,0.2,0.0,1,0,6,10,60.0,0,9,1,2,1,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
a5296e55,Piotr Zieliński,20,POL,AM,28-110,73,2,1,1,1,3,2,0,0,35,0,0,0,1.3,0.6,0.3,4,3,25,29,86.2,1,24,0,0,0,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
cf007308,Elif Elmas,7,MKD,AM,22-348,17,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,1,0,13,13,100.0,1,13,0,3,0,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
e1cbb531,Stanislav Lobotka,68,SVK,DM,27-286,90,0,0,0,0,0,0,0,0,51,1,0,1,0.0,0.0,0.0,0,0,39,46,84.8,3,42,0,4,1,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
6bb2c084,Andre-Frank Zambo Anguissa,99,CMR,DM,26-295,90,1,0,0,0,2,1,0,0,57,6,5,0,0.3,0.3,0.1,7,1,35,43,81.4,3,39,2,3,2,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
41c12f75,Mathías Olivera,17,URU,LB,24-311,73,0,0,0,0,0,0,0,0,39,2,0,1,0.0,0.0,0.1,3,0,26,33,78.8,3,18,2,1,0,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
0b5a292a,Mário Rui,6,POR,LB,31-103,17,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,10,13,76.9,1,8,1,0,0,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
e0f8151c,Kim Min-jae,3,KOR,CB,25-296,90,0,0,0,0,0,0,0,0,49,3,2,3,0.0,0.0,0.0,0,0,29,35,82.9,1,24,0,0,0,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
4b3e1a38,Amir Rrahmani,13,KVX,CB,28-195,90,0,0,0,0,0,0,1,0,83,3,0,6,0.0,0.0,0.0,0,0,60,66,90.9,0,48,0,0,0,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
230a2fac,Giovanni Di Lorenzo,22,ITA,RB,29-034,90,0,0,0,0,1,0,0,0,54,3,2,0,0.1,0.0,0.0,1,0,30,39,76.9,2,25,2,1,0,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
9413b19f,Alex Meret,1,ITA,GK,25-169,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,32,42,76.2,0,26,0,0,0,Napoli,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
4c370d81,Roberto Firmino,9,BRA,FW,30-340,61,0,0,0,0,1,0,0,0,36,1,1,1,0.1,0.1,0.0,1,0,23,29,79.3,4,23,3,1,0,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
4d77b365,Darwin Núñez,27,URU,FW,23-075,29,0,0,0,0,1,0,0,0,13,0,0,0,0.2,0.2,0.0,0,0,4,7,57.1,0,8,0,2,0,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
4a1a9578,Luis Díaz,23,COL,LW,25-237,90,1,0,0,0,3,2,0,0,40,1,0,1,0.1,0.1,0.3,4,0,26,29,89.7,6,27,3,3,1,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
e342ad68,Mohamed Salah,11,EGY,RW,30-084,61,0,0,0,0,2,1,0,0,24,0,0,0,0.1,0.1,0.0,0,0,14,18,77.8,0,16,0,0,0,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
178ae8f8,Diogo Jota,20,POR,RW,25-277,29,0,0,0,0,1,0,0,0,19,0,0,0,0.0,0.0,0.1,2,0,11,13,84.6,2,9,0,2,0,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
2f90f6b8,James Milner,7,ENG,LM,36-246,61,0,0,0,0,0,0,1,0,40,1,0,0,0.0,0.0,0.0,1,0,33,38,86.8,6,23,0,0,0,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
77e84962,Thiago Alcántara,6,ESP,LM,31-149,29,0,0,0,0,0,0,0,0,37,6,0,0,0.0,0.0,0.0,1,0,31,34,91.2,2,15,1,0,0,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
7f3b388c,Fabinho,3,BRA,CM,28-319,90,0,0,0,0,0,0,0,0,77,0,1,3,0.0,0.0,0.0,2,0,66,71,93.0,7,49,0,2,0,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
b9e1436c,Harvey Elliott,19,ENG,RM,19-156,76,0,0,0,0,1,0,0,0,67,2,1,1,0.2,0.2,0.1,4,0,46,54,85.2,6,42,3,1,0,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
48b3dd60,Arthur Melo,29,BRA,RM,26-026,14,0,0,0,0,1,0,0,0,19,1,0,0,0.1,0.1,0.0,0,0,11,13,84.6,1,11,1,0,0,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
2e4f5f03,Andrew Robertson,26,SCO,LB,28-180,90,0,1,0,0,0,0,0,0,81,0,0,0,0.0,0.0,0.1,3,1,60,76,78.9,8,43,1,0,0,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
e06683ca,Virgil van Dijk,4,NED,CB,31-061,90,0,0,0,0,2,2,1,0,68,0,0,2,0.1,0.1,0.0,1,0,57,63,90.5,4,35,0,0,0,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
7a11550b,Joe Gomez,2,ENG,CB,25-107,45,0,0,0,0,0,0,0,0,37,3,0,0,0.0,0.0,0.0,0,0,26,30,86.7,6,24,0,1,0,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
b217ef29,Joël Matip,32,CMR,CB,31-030,45,0,0,0,0,1,1,0,0,57,2,0,0,0.0,0.0,0.0,0,0,49,53,92.5,2,41,0,0,0,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
cd1acf9d,Trent Alexander-Arnold,66,ENG,RB,23-335,90,0,0,0,0,2,1,0,0,87,2,1,0,0.1,0.1,0.2,6,0,60,81,74.1,12,44,1,0,0,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
7a2e46a8,Alisson,1,BRA,GK,29-340,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,32,35,91.4,0,23,0,0,0,Liverpool,2022-09-07 Napoli-Liverpool,UCL,22-23,186769e2
