id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
e5ec95f8,Mamadou Sylla,7,SEN,FW,30-161,61,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,5,8,62.5,0,4,0,0,0,Valladolid,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
2bea832e,Juanmi Latasa,14,ESP,FW,23-158,29,0,0,0,0,3,0,0,0,11,0,0,0,0.2,0.2,0.0,0,0,6,8,75.0,1,4,0,0,0,Valladolid,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
919dd4b1,Raúl Moro,11,ESP,LW,21-267,80,0,0,0,0,1,0,0,0,50,1,0,2,0.1,0.1,0.1,2,0,27,40,67.5,6,32,4,5,3,Valladolid,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
ae86d473,Marcos André,9,BRA,LW,27-313,10,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,1,2,50.0,0,4,0,0,0,Valladolid,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
f3b1d9a2,Amath,19,SEN,RW,28-043,61,0,0,0,0,2,0,0,0,24,0,0,1,0.3,0.3,0.1,2,0,13,16,81.3,2,15,3,1,0,Valladolid,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
70107d4d,Iván Sánchez,10,ESP,RW,31-340,29,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.1,2,0,10,14,71.4,0,10,1,1,1,Valladolid,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
00eba9c9,Selim Amallah,21,MAR,LM,27-287,89,0,0,0,0,3,2,0,0,48,3,1,3,0.2,0.2,0.0,1,0,25,32,78.1,7,30,4,8,5,Valladolid,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
0525a80f,Chuky san jose,28,ESP,LM,20-121,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,0,0,0,0,Valladolid,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
21a87181,Stanko Jurić,20,CRO,CM,28-012,90,0,0,0,0,0,0,1,0,75,5,0,1,0.0,0.0,0.0,0,0,57,65,87.7,3,37,0,1,1,Valladolid,2024-08-28 Valladolid-Leganés,ESP-LALIGA,24-25,843a0b94
