id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d5dd5f1f,Pierre-Emerick Aubameyang,9,GAB,FW,33-137,64,0,1,0,0,2,0,0,0,20,0,0,1,0.1,0.1,0.2,4,1,14,15,93.3,5,13,3,0,0,Chelsea,2022-11-02 Chelsea-Dinamo Zagreb,UCL,22-23,eb2990f8
97220da2,Armando Broja,18,ALB,FW,21-053,26,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,2,0,8,10,80.0,0,9,1,2,1,Chelsea,2022-11-02 Chelsea-Dinamo Zagreb,UCL,22-23,eb2990f8
b400bde0,Raheem Sterling,17,ENG,FW,27-329,82,1,0,0,0,3,1,0,0,44,0,0,1,0.4,0.4,0.0,3,1,23,34,67.6,5,35,0,2,0,Chelsea,2022-11-02 Chelsea-Dinamo Zagreb,UCL,22-23,eb2990f8
1bf33a9a,Christian Pulisic,10,USA,FW,24-045,8,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.7,4,0,9,9,100.0,3,9,4,0,0,Chelsea,2022-11-02 Chelsea-Dinamo Zagreb,UCL,22-23,eb2990f8
fed7cb61,Kai Havertz,29,GER,AM,23-144,63,0,0,0,0,2,1,0,0,37,0,0,2,0.1,0.1,0.3,5,0,23,29,79.3,1,28,1,1,0,Chelsea,2022-11-02 Chelsea-Dinamo Zagreb,UCL,22-23,eb2990f8
c2731c10,Conor Gallagher,23,ENG,RM,22-269,27,0,0,0,0,3,2,0,0,20,1,1,0,0.8,0.8,0.0,2,0,12,14,85.7,2,18,0,2,1,Chelsea,2022-11-02 Chelsea-Dinamo Zagreb,UCL,22-23,eb2990f8
384d58d9,Denis Zakaria,20,SUI,LM,25-347,70,1,0,0,0,1,1,0,0,46,0,2,0,0.1,0.1,0.1,2,0,39,40,97.5,3,36,3,1,0,Chelsea,2022-11-02 Chelsea-Dinamo Zagreb,UCL,22-23,eb2990f8
e97fd090,Ruben Loftus-Cheek,12,ENG,LM,26-283,20,0,0,0,0,1,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,17,18,94.4,2,14,2,0,0,Chelsea,2022-11-02 Chelsea-Dinamo Zagreb,UCL,22-23,eb2990f8
45db685d,Jorginho,5,ITA,CM,30-317,90,0,0,0,0,0,0,0,0,87,1,2,0,0.0,0.0,0.1,4,0,76,82,92.7,10,67,1,2,2,Chelsea,2022-11-02 Chelsea-Dinamo Zagreb,UCL,22-23,eb2990f8
9674002f,Mason Mount,19,ENG,"RM,AM",23-296,90,0,0,0,0,3,1,0,0,55,1,0,1,0.1,0.1,0.0,3,1,32,44,72.7,9,42,0,3,1,Chelsea,2022-11-02 Chelsea-Dinamo Zagreb,UCL,22-23,eb2990f8
d2424d1b,Ben Chilwell,21,ENG,LB,25-316,90,0,0,0,0,1,0,0,0,84,1,1,1,0.0,0.0,1.1,8,0,65,76,85.5,9,57,4,1,1,Chelsea,2022-11-02 Chelsea-Dinamo Zagreb,UCL,22-23,eb2990f8
