id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
a2d873dd,Hwang Ui-jo,18,KOR,FW,30-039,73,0,0,0,0,2,1,0,0,18,0,1,0,0.1,0.1,0.0,1,0,7,13,53.8,1,7,0,0,0,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
4047c976,Aboubakar Kamara,47,MTN,FW,27-213,17,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,6,8,75.0,0,7,1,0,0,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
149895bf,Garry Rodrigues,77,CPV,FW,31-313,59,0,0,0,0,2,1,0,0,20,0,0,1,0.3,0.3,0.0,1,0,8,13,61.5,2,12,3,2,2,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
9d689a5b,Giorgos Masouras,19,GRE,FW,28-278,31,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,1,6,1,0,0,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
1c59240b,Pep Biel,21,ESP,CM,26-031,90,0,0,0,0,3,1,0,0,48,5,1,1,0.4,0.4,0.1,6,0,23,31,74.2,5,17,0,5,2,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
1c07b06e,Andreas Bouchalakis,5,GRE,CM,29-184,59,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,2,0,18,30,60.0,0,14,0,0,0,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
603116a7,Marcelo,12,BRA,"LB,CM",34-147,31,0,0,0,0,2,0,0,0,23,0,0,0,0.2,0.2,0.0,0,0,16,21,76.2,3,16,1,1,1,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
9ceb7642,Pierre Kunde,8,CMR,CM,27-072,73,0,0,0,0,2,1,0,0,36,3,0,1,0.0,0.0,0.0,1,0,15,26,57.7,5,22,1,0,0,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
92fa5d28,Hwang In-beom,33,KOR,CM,26-016,17,0,0,0,0,0,0,0,0,12,0,3,0,0.0,0.0,0.0,0,0,9,10,90.0,1,6,0,0,0,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
6c249ea7,Oleg Reabciuk,45,MDA,"LB,CB",24-263,90,0,0,0,0,0,0,0,0,48,1,0,1,0.0,0.0,0.0,4,0,34,42,81.0,2,25,0,0,0,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
8bc373ea,Pape Abou Cissé,66,SEN,CB,27-022,82,0,0,0,0,2,0,0,0,53,1,1,0,0.2,0.2,0.0,0,0,25,43,58.1,0,18,1,1,0,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
7a4cea18,Mathieu Valbuena,28,FRA,CB,38-008,8,0,0,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,2,7,0,1,0,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
d4133fa1,Yann M'Vila,6,FRA,"CB,CM",32-099,90,0,0,0,0,0,0,0,0,44,1,2,1,0.0,0.0,0.3,2,0,26,35,74.3,5,25,0,0,0,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
46a8347f,Šime Vrsaljko,2,CRO,CB,30-269,90,0,0,0,0,0,0,0,0,52,1,2,2,0.0,0.0,0.0,1,0,41,48,85.4,2,25,0,1,1,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
10f1cd17,Pipa,26,ESP,RB,24-253,90,0,0,0,0,0,0,0,0,64,0,1,1,0.0,0.0,0.3,2,0,42,50,84.0,7,34,5,5,3,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
9052e98c,Kostas Tzolakis,88,GRE,GK,19-332,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.2,1,0,16,32,50.0,0,17,0,0,0,Olympiacos,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
6d86d9cd,Owusu Kwabena,11,GHA,FW,25-110,89,1,0,0,0,5,4,0,0,31,0,0,0,1.1,1.1,0.0,0,0,10,15,66.7,2,17,0,1,1,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
a8f41212,Filip Ozobić,19,AZE,FW,31-181,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
4a1abff3,Abdellah Zoubir,10,FRA,LW,30-305,90,0,0,0,0,1,0,0,0,53,1,1,1,0.1,0.1,0.1,4,0,30,43,69.8,2,42,8,5,3,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
8382b207,Leandro Andrade,15,CPV,RW,23-012,64,0,0,0,0,0,0,0,0,26,2,0,1,0.0,0.0,0.0,2,0,14,17,82.4,2,18,1,3,0,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
14a04bea,Ramil Sheydayev,77,AZE,RW,26-205,26,1,0,0,0,2,1,1,0,15,0,1,0,0.2,0.2,0.1,3,1,7,11,63.6,4,12,4,2,1,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
ae05689a,Kady Borges,20,BRA,AM,26-157,90,0,1,0,0,2,2,0,0,56,1,2,3,0.1,0.1,1.1,9,1,28,40,70.0,8,38,7,6,4,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
bdf8165d,Richard Almeida,7,AZE,DM,33-200,64,0,0,0,0,0,0,0,0,71,1,2,1,0.0,0.0,0.0,1,0,55,65,84.6,6,42,0,1,0,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
fef20ac5,Julio Romão,6,BRA,DM,24-191,26,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,7,8,87.5,0,10,0,0,0,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
a372a9f2,Gara Garayev,2,AZE,DM,29-359,90,0,0,0,0,2,1,1,0,61,3,1,0,0.1,0.1,0.1,4,0,47,54,87.0,3,37,1,2,2,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
235a646b,Elvin Cəfərquliyev,44,AZE,LB,21-345,45,0,0,0,0,0,0,1,0,29,0,0,1,0.0,0.0,0.0,0,0,13,24,54.2,0,13,1,0,0,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
a74ea18d,Toral Bayramov,27,AZE,LB,21-225,45,0,0,0,0,1,1,0,0,26,0,0,0,0.0,0.0,0.0,0,0,14,24,58.3,1,14,1,1,1,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
4f5a953e,Badavi Huseynov,55,AZE,CB,31-087,90,0,0,0,0,1,1,0,0,58,0,0,0,0.0,0.0,0.0,1,0,42,47,89.4,3,32,0,0,0,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
808035bd,Bəhlul Mustafazadə,13,AZE,CB,25-221,90,0,0,0,0,0,0,0,0,59,0,1,0,0.0,0.0,0.0,1,0,35,43,81.4,1,23,0,0,0,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
24baba9d,Marko Vešović,29,MNE,RB,31-039,89,1,0,0,0,1,1,0,0,54,3,0,2,0.7,0.7,0.1,3,3,33,43,76.7,1,33,4,3,2,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
e09436fb,Abbas Huseynov,30,AZE,RB,27-115,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,1,0,0,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
595ccab1,Shakhruddin Magomedaliyev,1,AZE,GK,28-116,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,23,33,69.7,0,17,0,0,0,Qarabağ,2022-10-06 Olympiacos-Qarabağ,UEL,22-23,b6d398c4
