id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
9937ce4a,Ibrahim Rasheed,61,NGA,FW,23-178,90,1,0,0,0,4,1,1,0,34,0,0,1,0.6,0.6,0.1,7,1,13,22,59.1,1,23,5,4,3,Sheriff Tiraspol,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
1581e8db,Mouhamed Diop,8,SEN,FW,22-034,90,0,0,0,0,4,1,0,0,42,1,0,0,0.4,0.4,0.1,7,0,22,30,73.3,2,21,3,2,2,Sheriff Tiraspol,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
218e344d,Mudasiru Salifu,17,GHA,LM,25-216,68,0,0,0,0,2,0,0,0,39,3,2,2,0.1,0.1,0.0,0,0,14,19,73.7,1,17,1,1,0,Sheriff Tiraspol,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
8f5bfaac,Iyayi Atiemwen,80,NGA,LM,26-283,22,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.0,3,0,8,11,72.7,0,10,2,0,0,Sheriff Tiraspol,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
d7abc42e,Cédric Badolo,10,BFA,CM,23-364,90,0,0,0,0,2,0,0,0,32,2,0,0,0.1,0.1,0.2,4,0,16,20,80.0,1,16,1,2,0,Sheriff Tiraspol,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
ec61b68f,Pernambuco,28,BRA,RM,24-189,85,0,0,0,0,2,0,0,0,35,3,1,4,0.1,0.1,0.0,2,0,16,22,72.7,1,16,3,6,4,Sheriff Tiraspol,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
bb598858,Renan Guedes,42,BRA,FW,24-288,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Sheriff Tiraspol,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
9f115e20,Moussa Kyabou,18,MLI,DM,24-199,89,0,1,0,0,0,0,0,0,41,6,1,1,0.0,0.0,0.5,3,1,23,27,85.2,1,11,0,3,2,Sheriff Tiraspol,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
fa94d227,Heron,4,BRA,DM,22-078,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Sheriff Tiraspol,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
50385760,Patrick Kpozo,2,GHA,LB,25-111,90,0,0,0,0,0,0,0,0,50,1,2,2,0.0,0.0,0.0,2,0,27,39,69.2,4,17,3,2,1,Sheriff Tiraspol,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
30e03a25,Stjepan Radeljić,6,BIH,CB,25-059,90,0,0,0,0,2,0,1,0,42,1,4,2,0.1,0.1,0.0,2,0,18,26,69.2,2,17,0,0,0,Sheriff Tiraspol,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
718a3a5c,Gaby Kiki,15,CMR,CB,27-261,90,0,0,0,0,0,0,0,0,34,1,0,4,0.0,0.0,0.0,0,0,17,24,70.8,1,18,1,0,0,Sheriff Tiraspol,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
6358cb11,Armel Junior Zohouri,20,CIV,RB,21-212,90,0,0,0,0,1,1,0,0,45,2,2,2,0.0,0.0,0.0,1,0,23,34,67.6,4,18,3,0,0,Sheriff Tiraspol,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
60713cb3,Maksym Koval,35,UKR,GK,29-329,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,15,33,45.5,0,18,0,0,0,Sheriff Tiraspol,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
d9ac09e2,Andronikos Kakoulli,80,CYP,FW,21-184,90,0,0,0,0,3,2,0,0,34,1,0,1,0.5,0.5,0.1,1,0,11,22,50.0,1,21,1,2,0,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
0eb83e1a,Bruno Felipe Souza da Silva,7,BRA,LW,28-161,80,0,0,0,0,0,0,0,0,56,0,0,0,0.0,0.0,0.6,5,0,35,46,76.1,5,33,1,4,0,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
3098c0df,Brandon Barker,11,ENG,LW,26-030,10,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,0,9,1,1,1,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
975eda74,Loizos Loizou,10,CYP,RW,19-108,62,0,0,0,0,2,0,0,0,24,0,0,1,0.1,0.1,0.0,2,0,14,17,82.4,1,13,1,2,0,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
38fc10d2,Panayiotis Zachariou,20,CYP,RW,26-250,28,0,0,0,0,0,0,0,0,19,1,1,0,0.0,0.0,0.0,2,0,7,11,63.6,1,10,2,2,1,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
a0b730dc,Roman Bezus,90,UKR,AM,32-038,90,0,0,0,0,4,1,1,0,75,3,2,1,0.3,0.3,0.3,9,0,43,55,78.2,11,48,0,4,2,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
f54d2149,Moreto Cassamã,8,GNB,DM,24-260,74,0,0,0,0,0,0,0,0,73,2,0,1,0.0,0.0,0.0,1,0,55,71,77.5,5,46,2,0,0,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
d6f866ba,Mix Diskerud,42,USA,DM,32-032,16,0,0,0,0,0,0,0,0,18,0,1,0,0.0,0.0,0.0,1,0,13,16,81.3,2,14,0,0,0,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
e63c5181,Charalampos Charalampous,76,CYP,DM,20-213,62,0,0,0,0,1,0,0,0,49,4,0,2,0.0,0.0,0.0,0,0,25,34,73.5,2,27,2,3,0,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
e1bbb68d,Fotios Papoulis,13,CYP,DM,37-285,28,0,0,0,0,1,1,0,0,23,0,0,0,0.0,0.0,0.1,1,0,15,17,88.2,5,19,0,2,0,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
56dd5e10,Jan Lecjaks,17,CZE,LB,32-086,62,0,0,0,0,2,1,0,0,41,1,1,0,0.0,0.0,0.0,0,0,29,34,85.3,2,23,1,1,0,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
d03380ec,Paris Psaltis,2,CYP,"RB,LB",25-356,28,0,0,0,0,0,0,0,0,22,0,1,0,0.0,0.0,0.0,2,0,12,19,63.2,2,10,1,1,0,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
903b3b77,Nemanja Miletić,73,SRB,CB,31-291,90,0,0,0,0,0,0,0,0,92,0,0,1,0.0,0.0,0.0,1,0,72,83,86.7,10,68,2,1,1,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
f50a668a,Héctor Yuste,6,ESP,CB,34-295,90,0,0,0,0,0,0,0,0,69,4,0,0,0.0,0.0,0.0,0,0,53,62,85.5,3,40,2,0,0,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
ff711ca2,Fotios Kitsos,14,GRE,"RB,LB",19-217,90,0,0,0,0,2,0,0,0,69,1,2,1,0.4,0.4,0.1,2,0,50,56,89.3,3,40,4,2,1,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
cfd68aa7,Francis Uzoho,23,NGA,GK,24-006,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,40,43,93.0,0,18,0,0,0,AC Omonia,2022-11-03 Sheriff Tiraspol-AC Omonia,UEL,22-23,335e9a66
