id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
343c0d52,Giovanni Simeone,18,ARG,FW,27-113,90,2,0,0,0,6,3,0,0,40,1,0,1,1.1,1.1,0.2,4,0,20,27,74.1,1,26,0,2,1,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
6e058f06,Giacomo Raspadori,81,ITA,LW,22-250,82,0,1,0,0,4,1,0,0,52,3,0,0,0.4,0.4,0.1,4,2,37,41,90.2,6,33,1,1,0,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
d19ef4ef,Alessio Zerbin,23,ITA,LW,23-237,8,0,0,0,0,0,0,0,0,9,1,0,1,0.0,0.0,0.0,0,0,4,7,57.1,0,5,2,0,0,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
5e861944,Matteo Politano,21,ITA,RW,29-084,72,0,0,0,0,1,0,0,0,63,3,0,1,0.0,0.0,0.3,3,0,40,46,87.0,10,43,3,3,1,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
a69e4806,Hirving Lozano,11,MEX,RW,27-088,18,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,5,10,50.0,2,6,0,0,0,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
cf007308,Elif Elmas,7,MKD,LM,23-032,72,0,0,0,0,0,0,0,0,80,5,0,1,0.0,0.0,0.0,1,0,70,74,94.6,3,50,2,2,1,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
3b387cc7,Gianluca Gaetano,70,ITA,"LM,CM",22-174,18,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,19,22,86.4,1,13,0,1,1,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
e1cbb531,Stanislav Lobotka,68,SVK,CM,27-335,82,0,0,0,0,0,0,0,0,112,0,0,1,0.0,0.0,0.0,0,0,103,109,94.5,5,88,2,2,1,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
a5296e55,Piotr Zieliński,20,POL,"LM,CM",28-159,8,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,1,0,5,6,83.3,0,5,0,0,0,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
5cdddffa,Tanguy Ndombele,91,FRA,RM,25-302,90,0,0,0,0,1,0,0,0,114,2,4,1,0.1,0.1,0.5,3,0,87,99,87.9,5,90,1,2,0,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
0b5a292a,Mário Rui,6,POR,LB,31-152,90,0,1,0,0,1,1,1,0,75,1,2,1,0.1,0.1,0.2,2,2,62,67,92.5,4,51,2,1,1,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
e0f8151c,Kim Min-jae,3,KOR,CB,25-345,90,0,0,0,0,0,0,1,0,109,1,4,2,0.0,0.0,0.0,2,1,95,96,99.0,6,73,1,0,0,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
b35a7399,Leo Skiri Østigård,55,NOR,CB,22-332,90,1,0,0,0,1,1,0,0,124,0,1,2,0.1,0.1,0.0,0,0,107,113,94.7,7,95,2,0,0,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
230a2fac,Giovanni Di Lorenzo,22,ITA,RB,29-083,85,0,1,0,0,0,0,0,0,88,2,1,0,0.0,0.0,0.4,5,1,73,82,89.0,6,59,5,1,1,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
3b12b11f,Alessandro Zanoli,59,ITA,RB,22-023,5,0,0,0,0,0,0,0,0,4,2,1,0,0.0,0.0,0.0,0,0,2,2,100.0,1,1,1,0,0,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
9413b19f,Alex Meret,1,ITA,GK,25-218,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,16,18,88.9,0,12,0,0,0,Napoli,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
ef88f778,Alfredo Morelos,20,COL,FW,26-127,67,0,0,0,0,3,1,0,0,25,0,0,0,0.3,0.3,0.1,2,0,13,17,76.5,2,14,2,0,0,Rangers,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
bfde3de5,Antonio Čolak,9,CRO,FW,29-039,23,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,0,0,0,Rangers,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
316de854,Ryan Kent,14,ENG,"LM,LW",25-349,90,0,0,0,0,0,0,0,0,47,2,0,0,0.0,0.0,0.0,0,0,23,29,79.3,3,31,5,8,3,Rangers,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
e9b0ccaf,Scott Wright,23,SCO,RW,25-079,45,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.2,1,0,11,15,73.3,2,13,0,1,1,Rangers,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
be6a794c,Fashion Sakala,30,ZAM,RM,25-226,45,0,0,0,0,2,0,0,0,14,0,0,0,0.2,0.2,0.0,1,0,8,10,80.0,1,12,3,0,0,Rangers,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
a5420709,Malik Tillman,71,USA,"AM,CM",20-151,66,0,0,0,0,1,0,0,0,35,2,0,2,0.1,0.1,0.0,1,0,16,22,72.7,1,16,1,4,2,Rangers,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
b1313ec4,Scott Arfield,37,CAN,CM,33-359,24,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,7,8,87.5,1,6,0,0,0,Rangers,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
dccd127f,James Sands,19,USA,"CB,DM",22-112,90,0,0,0,0,0,0,0,0,66,3,0,1,0.0,0.0,0.0,0,0,49,60,81.7,3,32,1,1,0,Rangers,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
0df2b165,John Lundstram,4,ENG,"CM,DM",28-250,90,0,0,0,0,0,0,1,0,51,2,1,0,0.0,0.0,0.0,2,0,37,44,84.1,6,35,0,2,0,Rangers,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
94721522,Rıdvan Yılmaz,3,TUR,LB,21-158,90,0,0,0,0,1,0,0,0,60,1,3,0,0.0,0.0,0.0,2,0,39,50,78.0,5,35,0,2,1,Rangers,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
c9009a1f,Ben Davies,26,ENG,CB,27-076,90,0,0,0,0,1,0,1,0,54,1,2,1,0.1,0.1,0.0,1,0,39,44,88.6,4,38,1,0,0,Rangers,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
82c615f8,Leon King,38,SCO,CB,18-285,75,0,0,0,0,0,0,0,0,53,0,1,0,0.0,0.0,0.0,0,0,43,51,84.3,3,41,0,0,0,Rangers,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
712dd708,Borna Barišić,31,CRO,CB,29-350,15,0,0,0,0,0,0,0,0,15,0,0,1,0.0,0.0,0.0,0,0,13,13,100.0,0,11,0,0,0,Rangers,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
be765073,James Tavernier,2,ENG,RB,30-360,90,0,0,0,0,0,0,0,0,74,1,0,2,0.0,0.0,0.1,2,0,54,70,77.1,2,35,0,3,2,Rangers,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
f3a97d02,Allan McGregor,1,SCO,GK,40-268,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,23,29,79.3,0,15,0,0,0,Rangers,2022-10-26 Napoli-Rangers,UCL,22-23,f238934f
