id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
c3fd9887,Vedad Ibišević,19,BIH,FW,33-013,90,0,1,0,0,2,1,0,0,34,0,0,0,0.1,0.1,0.1,3,2,15,23,65.2,1,16,0,3,0,Hertha BSC,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
b48215cd,Alexander Esswein,7,GER,FW,27-147,67,0,0,0,0,2,1,0,0,26,0,1,0,0.1,0.1,0.0,1,0,13,19,68.4,2,19,1,0,0,Hertha BSC,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
aad48be9,Niklas Stark,5,GER,FW,22-127,23,0,0,0,0,0,0,0,0,11,3,0,0,0.0,0.0,0.0,0,0,7,9,77.8,0,1,0,0,0,Hertha BSC,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
2042d931,Salomon Kalou,8,CIV,LM,32-014,75,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,21,24,87.5,3,24,1,5,2,Hertha BSC,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
f24ea523,Genki Haraguchi,24,JPN,LM,26-102,15,0,0,0,0,0,0,1,0,3,0,0,1,0.0,0.0,0.0,0,0,0,2,0.0,0,1,0,0,0,Hertha BSC,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
3eb0f2df,Vladimír Darida,6,CZE,CM,27-011,87,0,0,0,0,2,0,0,0,91,3,0,0,0.1,0.1,0.0,6,0,72,82,87.8,10,57,1,1,1,Hertha BSC,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
f86cabbd,Jordan Torunarigha,25,GER,CM,20-012,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Hertha BSC,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
ecab64a0,Per Ciljan Skjelbred,3,NOR,CM,30-064,90,0,0,0,0,0,0,0,0,73,4,1,0,0.0,0.0,0.0,0,0,63,70,90.0,5,40,1,1,1,Hertha BSC,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
b93b7882,Mathew Leckie,11,AUS,RM,26-196,90,2,0,0,0,4,2,0,0,58,3,1,2,0.3,0.3,0.0,4,1,22,39,56.4,2,36,5,7,3,Hertha BSC,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
f7aa75bd,Marvin Plattenhardt,21,GER,LB,25-205,90,0,0,0,0,0,0,0,0,71,3,1,2,0.0,0.0,0.0,1,0,50,60,83.3,3,39,2,3,1,Hertha BSC,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
3376a776,Karim Rekik,4,NED,CB,22-260,90,0,1,0,0,0,0,0,0,74,3,1,1,0.0,0.0,0.0,1,0,64,67,95.5,6,54,0,0,0,Hertha BSC,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
74d70fb5,Sebastian Langkamp,15,GER,CB,29-216,90,0,0,0,0,0,0,0,0,91,1,3,0,0.0,0.0,0.0,0,0,71,80,88.8,7,49,0,0,0,Hertha BSC,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
30c220c3,Mitchell Weiser,23,GER,RB,23-120,90,0,0,0,0,0,0,1,0,70,4,0,4,0.0,0.0,0.1,3,0,40,52,76.9,3,27,3,7,1,Hertha BSC,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
27d2618c,Rune Jarstein,22,NOR,GK,32-324,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,23,28,82.1,0,13,0,0,0,Hertha BSC,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
863ff1ee,Simon Terodde,9,GER,FW,29-170,90,0,0,0,0,1,1,0,0,32,3,1,0,0.0,0.0,0.0,0,0,17,24,70.8,1,12,1,1,0,Stuttgart,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
debc2f28,Chadrac Akolo,19,COD,FW,22-140,74,0,0,0,0,2,1,0,0,25,2,0,1,0.1,0.1,0.0,1,0,15,17,88.2,3,18,3,2,0,Stuttgart,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
0f26fd24,Anastasios Donis,14,GRE,FW,20-355,16,0,0,0,0,2,0,0,0,5,0,0,0,0.5,0.5,0.0,0,0,1,1,100.0,0,3,0,2,1,Stuttgart,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
d4a2533d,Josip Brekalo,7,CRO,LM,19-057,90,0,0,0,0,1,0,1,0,44,6,1,1,0.1,0.1,0.0,4,0,13,23,56.5,1,18,4,6,2,Stuttgart,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
a4f94a0d,Christian Gentner,20,GER,CM,32-005,90,0,0,0,0,0,0,0,0,71,5,0,1,0.0,0.0,0.0,2,0,53,63,84.1,10,40,1,2,1,Stuttgart,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
a572e291,Orel Mangala,23,BEL,CM,19-154,90,0,0,0,0,1,0,0,0,63,1,1,0,0.0,0.0,0.0,0,0,48,58,82.8,3,34,0,2,2,Stuttgart,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
13ddc856,Takuma Asano,11,JPN,RM,22-282,90,0,0,0,0,1,0,0,0,37,2,0,0,0.3,0.3,0.1,1,0,21,27,77.8,2,28,5,7,4,Stuttgart,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
74ced675,Ailton,29,BRA,LB,22-156,61,0,0,0,0,0,0,0,0,53,5,2,2,0.0,0.0,0.0,0,0,29,41,70.7,2,19,1,4,3,Stuttgart,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
c311243f,Dennis Aogo,3,GER,LB,30-217,29,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,17,19,89.5,2,14,1,0,0,Stuttgart,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
463503e2,Marcin Kamiński,35,POL,CB,25-216,90,0,0,0,0,0,0,0,0,64,0,1,2,0.0,0.0,0.0,2,0,48,56,85.7,3,36,0,0,0,Stuttgart,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
45a03961,Benjamin Pavard,21,FRA,"CB,RB",21-144,90,0,0,0,0,0,0,0,0,70,3,1,1,0.0,0.0,0.3,2,0,60,63,95.2,3,32,0,0,0,Stuttgart,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
e199d5b0,Matthias Zimmermann,25,GER,RB,25-064,66,0,0,0,0,0,0,0,0,50,2,1,0,0.0,0.0,0.0,1,0,30,43,69.8,0,19,1,1,0,Stuttgart,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
45b7edae,Holger Badstuber,28,GER,"CB,RB",28-159,24,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,1,0,19,23,82.6,2,15,0,0,0,Stuttgart,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
a0606ae8,Ron-Robert Zieler,16,GER,GK,28-188,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,17,33,51.5,0,16,0,0,0,Stuttgart,2017-08-19 Hertha BSC-Stuttgart,GER-BL1,17-18,0339770e
