id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
1f44ac21,Erling Haaland,9,NOR,FW,22-055,89,1,0,0,0,3,1,0,0,22,0,0,0,0.5,0.5,0.1,2,0,11,14,78.6,2,12,0,3,2,Manchester City,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
4f565d77,Kalvin Phillips,4,ENG,DM,26-286,1,0,0,0,0,0,0,0,0,3,0,1,0,0.0,0.0,0.0,0,0,0,1,0.0,0,3,0,0,0,Manchester City,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
b0b4fd3e,Jack Grealish,10,ENG,LW,27-004,57,0,0,0,0,3,0,0,0,44,0,1,1,0.2,0.2,0.0,1,0,29,35,82.9,2,37,4,1,0,Manchester City,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
ed1e53f3,Phil Foden,47,ENG,LW,22-109,33,0,0,0,0,0,0,1,0,29,0,1,0,0.0,0.0,0.1,1,0,15,21,71.4,1,23,1,1,0,Manchester City,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
892d5bb1,Riyad Mahrez,26,ALG,RW,31-205,57,0,0,0,0,0,0,0,0,46,3,0,0,0.0,0.0,0.0,0,0,26,35,74.3,3,32,2,2,1,Manchester City,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
15ab5a2b,Julián Álvarez,19,ARG,"RW,FW",22-226,33,0,0,0,0,2,1,0,0,13,0,0,0,0.2,0.2,0.0,2,0,7,9,77.8,0,11,3,1,1,Manchester City,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
819b3158,İlkay Gündoğan,8,GER,LM,31-325,57,0,0,0,0,0,0,0,0,51,0,1,1,0.0,0.0,0.0,1,0,40,46,87.0,5,28,2,1,1,Manchester City,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
3eb22ec9,Bernardo Silva,20,POR,"LM,AM",28-035,33,0,0,0,0,0,0,0,0,49,1,0,1,0.0,0.0,0.0,2,0,40,44,90.9,5,30,2,1,1,Manchester City,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
6434f10d,Rodri,16,ESP,CM,26-084,90,0,0,0,0,2,0,1,0,95,3,0,0,0.1,0.1,0.0,2,0,83,88,94.3,13,62,1,1,1,Manchester City,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
e46012d4,Kevin De Bruyne,17,BEL,RM,31-078,90,0,1,0,0,0,0,0,0,61,1,0,2,0.0,0.0,0.2,3,1,32,55,58.2,4,35,3,2,0,Manchester City,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
bd6351cd,João Cancelo,7,POR,LB,28-110,90,0,1,0,0,1,0,0,0,129,1,1,0,0.0,0.0,0.3,4,2,105,121,86.8,18,82,5,3,2,Manchester City,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
eaeca114,Nathan Aké,6,NED,CB,27-208,90,0,0,0,0,0,0,0,0,107,1,2,1,0.0,0.0,0.0,1,1,96,101,95.0,15,76,2,0,0,Manchester City,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
89ac64a6,Manuel Akanji,25,SUI,CB,27-057,90,0,0,0,0,0,0,0,0,100,4,0,1,0.0,0.0,0.0,1,0,87,90,96.7,2,75,2,0,0,Manchester City,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
5eecec3d,John Stones,5,ENG,RB,28-109,90,1,0,0,0,1,1,0,0,78,1,1,0,0.0,0.0,0.1,3,0,67,72,93.1,8,47,0,1,1,Manchester City,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
3bb7b8b4,Ederson,31,BRA,GK,29-028,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,25,29,86.2,0,17,0,0,0,Manchester City,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
34e4343c,Anthony Modeste,20,FRA,FW,34-153,77,0,0,0,0,0,0,0,0,19,0,0,1,0.0,0.0,0.0,0,0,3,10,30.0,0,8,0,0,0,Dortmund,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
34e12499,Nico Schlotterbeck,4,GER,FW,22-287,13,0,0,0,0,0,0,0,0,5,0,2,1,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0,Dortmund,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
36a3ff67,Marco Reus,11,GER,LW,33-106,87,0,1,0,0,1,0,0,0,41,2,1,2,0.3,0.3,0.3,3,1,27,33,81.8,4,24,1,2,1,Dortmund,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
6ce43701,Youssoufa Moukoko,18,GER,LW,17-298,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Dortmund,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
7fa4e703,Gio Reyna,7,USA,RW,19-305,61,0,0,0,0,0,0,0,0,31,1,0,1,0.0,0.0,0.0,1,1,13,23,56.5,1,18,2,1,0,Dortmund,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
116c35df,Donyell Malen,21,NED,RW,23-248,29,0,0,0,0,1,0,1,0,9,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,0,4,1,2,0,Dortmund,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
15413fa5,Salih Özcan,6,TUR,LM,24-246,87,0,0,0,0,1,1,1,0,40,0,3,2,0.0,0.0,0.3,1,0,21,26,80.8,4,31,3,1,1,Dortmund,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
501055d8,Karim Adeyemi,27,GER,LM,20-239,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,2,1,0,0,Dortmund,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
a65ce836,Emre Can,23,GER,CM,28-245,90,0,0,0,0,0,0,0,0,38,3,0,0,0.0,0.0,0.0,0,0,28,32,87.5,1,24,0,0,0,Dortmund,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
57d88cf9,Jude Bellingham,22,ENG,RM,19-077,90,1,0,0,0,1,1,0,0,47,0,0,2,0.3,0.3,0.0,1,0,24,32,75.0,2,29,2,2,1,Dortmund,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
048a1cbc,Raphaël Guerreiro,13,POR,LB,28-266,90,0,0,0,0,0,0,0,0,58,1,3,1,0.0,0.0,0.1,3,0,43,47,91.5,3,33,2,2,0,Dortmund,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
05d548d8,Mats Hummels,15,GER,CB,33-272,90,0,0,0,0,0,0,0,0,49,1,3,2,0.0,0.0,0.0,0,0,30,39,76.9,1,36,0,0,0,Dortmund,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
e33c06cf,Niklas Süle,25,GER,CB,27-011,90,0,0,0,0,0,0,0,0,63,2,2,2,0.0,0.0,0.0,0,0,44,52,84.6,0,40,0,1,1,Dortmund,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
e162b013,Thomas Meunier,24,BEL,RB,31-002,90,0,0,0,0,1,0,1,0,66,6,1,2,0.1,0.1,0.0,0,0,33,49,67.3,0,39,2,2,1,Dortmund,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
b56dd813,Alexander Meyer,33,GER,GK,31-154,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,43,48,89.6,0,32,0,0,0,Dortmund,2022-09-14 Manchester City-Dortmund,UCL,22-23,f8469961
