id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8652a85c,Loïs Openda,17,BEL,FW,23-251,81,0,0,0,0,4,1,0,0,26,0,0,0,0.4,0.4,0.1,2,0,12,17,70.6,2,22,4,0,0,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
3260690c,Benjamin Šeško,30,SVN,FW,20-147,9,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
d2416c2e,Yussuf Poulsen,9,DEN,FW,29-132,81,0,0,0,0,1,1,0,0,23,1,0,0,0.1,0.1,0.4,3,0,12,17,70.6,2,17,2,2,1,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
49fe9070,Timo Werner,11,GER,FW,27-233,9,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,8,37.5,0,10,1,0,0,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
da4d670f,Xavi Simons,20,NED,LM,20-187,74,1,1,0,0,5,3,0,0,48,0,1,0,0.6,0.6,0.2,8,1,28,37,75.7,4,37,2,3,1,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
ae44e8e2,Dani Olmo,7,ESP,LM,25-171,16,1,0,0,0,1,1,0,0,18,0,0,0,0.4,0.4,0.0,2,0,12,14,85.7,3,13,2,1,1,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
8f056768,Xaver Schlager,24,AUT,CM,26-027,90,0,0,0,0,1,0,0,0,78,2,0,2,0.0,0.0,0.1,7,1,58,66,87.9,8,48,6,3,1,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
b825a650,Kevin Kampl,44,SVN,CM,33-016,90,0,0,0,0,2,1,0,0,89,3,0,1,0.0,0.0,0.0,3,0,75,78,96.2,9,63,4,1,1,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
9a2e0ccc,Emil Forsberg,10,SWE,RM,32-002,57,0,0,0,0,1,0,0,0,23,1,0,0,0.1,0.1,0.2,4,1,14,16,87.5,2,18,0,2,2,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
437f2b00,Christoph Baumgartner,14,AUT,RM,24-085,33,0,0,0,0,5,0,0,0,31,1,0,0,0.8,0.8,0.0,3,1,14,20,70.0,3,24,2,3,1,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
7d450ed3,David Raum,22,GER,LB,25-186,90,1,1,0,0,2,2,0,0,91,1,0,1,0.2,0.2,0.8,8,1,65,83,78.3,5,59,3,0,0,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
5b9512c5,Castello Lukeba,23,FRA,CB,20-312,90,0,0,0,0,1,1,0,0,85,5,1,0,0.1,0.1,0.0,1,0,68,70,97.1,4,57,3,0,0,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
fcb27134,Mohamed Simakan,2,FRA,"CB,RB",23-175,90,0,0,0,0,3,0,0,0,74,1,0,0,0.5,0.5,0.0,5,0,59,64,92.2,2,50,2,1,0,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
0a89e877,Benjamin Henrichs,39,GER,RB,26-244,57,0,0,0,0,1,0,1,0,49,2,0,2,0.1,0.1,0.0,2,0,34,44,77.3,2,30,1,0,0,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
ca8033cb,Lukas Klostermann,16,GER,CB,27-144,33,0,0,0,0,0,0,0,0,20,1,0,1,0.0,0.0,0.0,1,0,15,15,100.0,1,12,1,0,0,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
663e080e,Janis Blaswich,21,GER,GK,32-176,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,45,51,88.2,0,26,0,0,0,RB Leipzig,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
beec76cc,Peter Olayinka,14,NGA,FW,27-341,45,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,9,1,1,0,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
eab85789,Osman Bukari,30,GHA,FW,24-316,45,0,0,0,0,2,0,0,0,21,1,0,0,0.1,0.1,0.0,1,0,11,16,68.8,2,17,2,3,2,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
858a54c3,Cherif Ndiaye,9,SEN,FW,27-275,64,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.1,2,0,15,16,93.8,3,15,1,4,0,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
c54638ba,Jovan Mijatović,22,SRB,FW,18-106,26,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,6,6,100.0,2,5,0,1,1,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
4c82730b,Mirko Ivanić,4,MNE,CM,30-042,90,0,0,0,0,3,1,0,0,37,1,0,3,0.1,0.1,0.0,2,0,19,27,70.4,4,26,2,2,0,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
92fa5d28,Hwang In-beom,66,KOR,CM,27-035,90,0,0,0,0,2,0,1,0,60,5,2,4,0.0,0.0,0.0,4,0,35,45,77.8,2,31,2,1,0,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
690d1049,Marko Stamenic,6,NZL,CM,21-248,80,1,0,0,0,1,1,1,0,30,1,0,3,0.5,0.5,0.0,1,0,13,21,61.9,0,12,1,0,0,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
d5127c3f,Aleksandar Katai,10,SRB,CM,32-261,10,0,0,0,0,1,1,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,4,0,0,0,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
232b3da4,Stefan Mitrović,80,SRB,WB,21-071,64,0,0,0,0,3,0,0,0,28,0,1,0,0.1,0.1,0.0,3,0,17,22,77.3,3,21,3,4,1,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
8c451492,Vladimir Lučić,37,SRB,WB,21-119,26,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.1,4,0,14,17,82.4,2,13,2,3,2,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
175bef1f,Srđan Mijailović,33,SRB,"WB,CB",29-349,90,0,0,0,0,1,0,0,0,48,2,5,3,0.0,0.0,0.0,1,0,22,34,64.7,1,18,0,0,0,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
4dedd469,Milan Rodić,23,SRB,CB,32-206,64,0,0,0,0,1,1,1,0,33,2,0,0,0.0,0.0,0.0,0,0,22,26,84.6,2,9,1,0,0,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
c70be9cf,Kosta Nedeljković,2,SRB,"WB,CB",17-313,26,0,0,0,0,1,0,0,0,15,0,0,1,0.0,0.0,0.1,2,0,7,12,58.3,1,8,0,0,0,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
6fd8a334,Aleksandar Dragović,15,AUT,CB,32-233,90,0,0,0,0,1,0,0,0,49,1,2,5,0.0,0.0,0.0,3,1,32,33,97.0,7,22,2,0,0,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
1a7a4d84,Nasser Djiga,24,BFA,CB,20-344,90,0,0,0,0,0,0,1,0,37,1,3,1,0.0,0.0,0.0,0,0,22,25,88.0,0,20,0,1,1,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
78c513b3,Omri Glazer,18,ISR,GK,27-228,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,18,23,78.3,0,10,0,0,0,Red Star Belgrade,2023-10-25 RB Leipzig-Red Star,UCL,23-24,f9b9a5fe
