id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
3925dbd6,Aleksandar Mitrović,9,SRB,FW,23-344,90,2,0,0,0,4,3,0,0,39,0,1,1,0.5,0.5,0.1,3,1,25,27,92.6,2,16,2,0,0,Fulham,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
2513a588,Luciano Vietto,19,ARG,"LW,RW",24-264,90,0,2,0,0,3,0,0,0,54,0,0,0,0.2,0.2,0.5,8,2,32,41,78.0,3,34,3,4,1,Fulham,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
ecbb3fdf,André Schürrle,14,GER,RW,27-293,88,1,0,0,0,11,5,1,0,54,2,0,0,0.4,0.4,0.1,5,0,25,35,71.4,5,33,7,6,2,Fulham,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
6aa3e78b,Ryan Sessegnon,3,ENG,"LW,RW",18-100,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,2,2,100.0,0,1,0,0,0,Fulham,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
a8748947,Tom Cairney,10,SCO,LM,27-218,77,0,1,0,0,0,0,0,0,67,0,0,2,0.0,0.0,0.3,5,2,58,61,95.1,10,33,4,0,0,Fulham,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
6bb2c084,Andre-Frank Zambo Anguissa,29,CMR,"RM,LM",22-283,13,0,0,0,0,2,2,0,0,17,1,0,0,0.1,0.1,0.0,2,0,13,13,100.0,3,8,2,0,0,Fulham,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
71a08f97,Kevin McDonald,6,SCO,CM,29-295,90,0,0,0,0,1,0,0,0,73,1,0,0,0.0,0.0,0.0,3,0,53,67,79.1,3,21,1,0,0,Fulham,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
10efd0e1,Jean Seri,24,CIV,"RM,LM",27-038,90,1,0,0,0,1,1,0,0,99,1,1,1,0.0,0.0,0.1,9,2,85,95,89.5,8,36,1,1,1,Fulham,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
af69e7f0,Joe Bryan,23,ENG,LB,24-343,71,0,0,0,0,1,0,0,0,45,0,0,1,0.0,0.0,0.1,2,0,30,41,73.2,3,24,3,0,0,Fulham,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
dc6f5bdd,Calum Chambers,5,ENG,CB,23-218,19,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,9,12,75.0,1,4,0,0,0,Fulham,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
321a71a7,Maxime Le Marchand,20,FRA,"CB,LB",28-319,90,0,0,0,0,0,0,0,0,83,3,2,1,0.0,0.0,0.0,3,0,61,71,85.9,1,28,1,0,0,Fulham,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
f7750aa0,Denis Odoi,4,GHA,CB,30-091,90,0,0,0,0,0,0,0,0,60,0,0,2,0.0,0.0,0.0,0,0,48,54,88.9,3,24,0,0,0,Fulham,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
a9142dc3,Timothy Fosu-Mensah,21,NED,RB,20-236,90,0,0,0,0,2,1,0,0,57,0,0,0,0.1,0.1,0.0,3,0,40,51,78.4,3,20,3,2,0,Fulham,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
0d85a4e8,Marcus Bettinelli,1,ENG,GK,26-094,90,0,0,0,0,0,0,1,0,40,0,0,0,0.0,0.0,0.0,1,0,30,40,75.0,0,16,0,0,0,Fulham,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
4e9a0555,Chris Wood,11,NZL,FW,26-262,65,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,8,13,61.5,1,7,0,0,0,Burnley,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
1d6ac165,Sam Vokes,9,WAL,FW,28-309,25,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,0,0,5,9,55.6,0,2,0,0,0,Burnley,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
989d5705,Jeff Hendrick,13,IRL,"FW,LM",26-207,90,1,0,0,0,4,1,0,0,46,0,0,1,0.8,0.8,0.0,2,1,32,40,80.0,8,16,2,2,2,Burnley,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
f72293fc,Jóhann Berg Guðmundsson,7,ISL,LM,27-303,18,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0,Burnley,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
cc2d7ad5,Charlie Taylor,3,ENG,"LM,LB",24-342,72,0,0,0,0,1,0,0,0,46,1,1,2,0.0,0.0,0.2,3,0,21,36,58.3,4,19,3,4,2,Burnley,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
495945ef,Ashley Westwood,18,ENG,CM,28-147,90,0,0,0,0,0,0,0,0,37,4,3,0,0.0,0.0,0.0,3,0,21,30,70.0,6,13,0,1,1,Burnley,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
74e12f1e,Jack Cork,4,ENG,CM,29-062,90,0,0,0,0,1,0,0,0,32,1,0,0,0.0,0.0,0.0,3,0,25,29,86.2,4,16,0,0,0,Burnley,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
2ff964a0,Aaron Lennon,25,ENG,RM,31-132,90,0,0,0,0,0,0,0,0,21,0,1,1,0.0,0.0,0.1,1,0,12,17,70.6,3,14,2,2,1,Burnley,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
3831b9fe,Stephen Ward,23,IRL,LB,33-006,65,0,0,0,0,0,0,0,0,34,3,1,1,0.0,0.0,0.0,0,0,19,27,70.4,0,11,3,0,0,Burnley,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
2691c772,Ashley Barnes,10,ENG,FW,28-300,25,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,0,4,0,0,0,Burnley,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
8df7a2fb,Ben Mee,6,ENG,CB,28-339,90,0,1,0,0,2,0,0,0,39,6,1,1,0.1,0.1,0.4,2,1,21,26,80.8,1,9,0,1,1,Burnley,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
15ea812b,James Tarkowski,5,ENG,CB,25-280,90,1,0,0,0,2,1,1,0,48,3,1,1,0.5,0.5,0.0,1,0,29,33,87.9,6,16,0,0,0,Burnley,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
9a9c05db,Matthew Lowton,2,ENG,RB,29-078,90,0,0,0,0,1,0,0,0,66,2,3,1,0.0,0.0,0.0,3,0,32,52,61.5,10,18,1,1,0,Burnley,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
cb4f24c6,Joe Hart,20,ENG,GK,31-129,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,23,43,53.5,0,16,0,0,0,Burnley,2018-08-26 Fulham-Burnley,ENG-EPL,18-19,55af3b90
